Word	Annotation	Sense	Part of Speech	Level	English	Russian
Schutz	der Schutz, -e		der	B1	protection	защита
Generation	die Generation, -en		die	B1	generation	поколение
chinesisch	chinesisch		adj, das	B1	Chinese; Chinese	китайский
Zeichen	das Zeichen, -		das	B1	sign	знак
Wahrheit	die Wahrheit, -en		die	B1	truth	правда
Haushalt	der Haushalt, -e		der	A2	household, budget	семья; бюджет; хозяйство
Garten	der Garten, -̈		der	A1	garden	сад
hinten	hinten		adv	A1	at/in the back	сзади
auffallen, fällt auf, fiel auf, ist aufgefallen	auffallen, fällt auf, fiel auf, ist aufgefallen		verb	B1	to stand out, notice	замечать
Gegensatz	der Gegensatz, -̈e		der	B1	opposite, contrast	противоположность
verteilen, verteilt, verteilte, hat verteilt	verteilen, verteilt, verteilte, hat verteilt		verb	B1	to distribute	распределять
Papier	das Papier, -e		das	A1	paper	бумага
physikalisch	physikalisch		adj	B1	physical	физический
angesichts	angesichts		prep	B1	in view of	ввиду
leise	leise		adj	A1	quiet, soft	тихий
vermutlich	vermutlich		adv	B1	probably	вероятно
eindeutig	eindeutig		adj	B1	clear	однозначный
heraus	heraus		adv	A2	out, outside	наружу
falls	falls		conj	B1	in case, if	если
erstmals	erstmals		adv	B1	for the first time	впервые
Partner	der Partner, -		der	A1	partner	партнер
nachdenken, denkt nach, dachte nach, hat nachgedacht	nachdenken, denkt nach, dachte nach, hat nachgedacht		verb	B1	to think about, reflect	размышлять
Ausbildung	die Ausbildung, -en		die	A2	training, development	образование
Wagen	der Wagen, -		der	A2	car, carriage	автомобиль
Schiff	das Schiff, -e		das	A2	ship	корабль
tausend	tausend		num	A1	thousand	тысяча
Tat	die Tat, -en		die	B1	deed, action	поступок
obere	obere (r, s)		adj	B1	upper	верхний
Gleichung	die Gleichung, -en		die	B1	equation	уравнение
Stein	der Stein, -e		der	B1	rock, stone	камень
kümmern, kümmert, kümmerte, hat gekümmert	kümmern (sich), kümmert, kümmerte, hat gekümmert		verb	A1	to take care of, be concerned	заботиться
mittlere	mittlere (r, s)		adj	B1	middle, average	средний
erheben, erhebt, erhob, hat erhoben	erheben, erhebt, erhob, hat erhoben		verb	B1	to raise	собирать
Erklärung	die Erklärung, -en		die	B1	explanation	объяснение
Konzept	das Konzept, -e		das	B1	concept, idea, plan	концепция
Mittwoch	der Mittwoch, -e		der	B1	Wednesday	среда
stören, stört, störte, hat gestört	stören, stört, störte, hat gestört		verb	A2	to disturb, bother	мешать
Spur	die Spur, -en		die	B1	track, lane	след
berliner	berliner		adj	B1	(of) Berlin	берлинский
Herausforderung	die Herausforderung, -en		die	B1	challenge	вызов
starten, startet, startete, hat gestartet	starten, startet, startete, hat gestartet		verb	B1	to start	начинаться
staatlich	staatlich		adj	B1	state, government, national	государственный
verbessern, verbessert, verbesserte, hat verbessert	verbessern, verbessert, verbesserte, hat verbessert		verb	B1	to improve, correct	улучшать
heiß	heiß		adj	A2	hot	горячий
Vergangenheit	die Vergangenheit, -en		die	B1	past	прошлое
Gleichgewicht	das Gleichgewicht, -e		das	B1	balance	равновесие
Griechenland	Griechenland		das	B1	Greece	Греция
Maß	das Maß, -e		das	B1	measure	размер; мера; измерение
abgeben, gibt ab, gab ab, hat abgegeben	abgeben, gibt ab, gab ab, hat abgegeben		verb	A1	to give, hand in, submit	сдавать
Bericht	der Bericht, -e		der	B1	report	отчет
Qualität	die Qualität, -en		die	A2	quality	качество
Rand	der Rand, -̈er		der	B1	edge	край
Italien	Italien		das	B1	Italy	Италия
Kern	der Kern, -e		der	B1	seed, core, nucleus	суть
Winter	der Winter, -		der	B1	winter	зима
Hintergrund	der Hintergrund, -̈e		der	B1	background	фон
Osten, Ost-	Osten, Ost-		der	B1	east	восток
Amerika	Amerika		das	B1	America	Америка
geboren	geboren		adj	A1	born	прирожденный
gefährlich	gefährlich		adj	A2	dangerous	опасный
zwingen, zwingt, zwang, hat gezwungen	zwingen, zwingt, zwang, hat gezwungen		verb	B1	to force	заставлять
Bier	das Bier, -e		das	A1	beer	пиво
ansprechen, spricht an, sprach an, hat angesprochen	ansprechen, spricht an, sprach an, hat angesprochen		verb	B1	to address, speak	обсуждать
komplett	komplett		adj	B1	complete	полный
Forderung	die Forderung, -en		die	B1	demand, claim	требование
gelangen, gelangt, gelangte, ist gelangt	gelangen, gelangt, gelangte, ist gelangt		verb	B1	to reach	достигать
Nachricht	die Nachricht, -en		die	A2	news, message	сообщение
sammeln, sammelt, sammelte, hat gesammelt	sammeln, sammelt, sammelte, hat gesammelt		verb	A2	to collect, gather	собирать
ablehnen, lehnt ab, lehnte ab, hat abgelehnt	ablehnen, lehnt ab, lehnte ab, hat abgelehnt		verb	B1	to refuse, reject, turn down	отклонять
stoßen, stößt, stieß, hat gestoßen	stoßen, stößt, stieß, hat gestoßen		verb	B1	to bump, push	стукаться
konstant	konstant		adj	B1	constant	постоянный
Oktober	der Oktober, -		der	B1	October	октябрь
umgehen, umgeht, umging, hat umgangen	umgehen, umgeht, umging, hat umgangen		verb	B1	to treat, handle	обращаться
angehen, geht an, ging an, ist angegangen	angehen, geht an, ging an, ist angegangen		verb	B1	to concern, go on	касаться
verlaufen, verläuft, verlief, ist verlaufen	verlaufen, verläuft, verlief, ist verlaufen		verb	B1	to proceed, get lost	проходить; заблудиться
demnach	demnach		adv	B1	therefore	следовательно
auftauchen, taucht auf, tauchte auf, ist aufgetaucht	auftauchen, taucht auf, tauchte auf, ist aufgetaucht		verb	B1	to surface, appear	появляться
böse	böse		adj	A1	bad, mad	злой
auslösen, löst aus, löste aus, hat ausgelöst	auslösen, löst aus, löste aus, hat ausgelöst		verb	B1	to set off, provoke	вызывать
weitergehen, geht weiter, ging weiter, ist weitergegangen	weitergehen, geht weiter, ging weiter, ist weitergegangen		verb	B1	to go on, continue	продолжаться
abhängen, hängt ab, hing ab, hat abgehangen	abhängen, hängt ab, hing ab, hat abgehangen		verb	B1	to depend	зависеть
Geschwindigkeit	die Geschwindigkeit, -en		die	B1	speed	скорость
ideal	ideal		adj	B1	ideal	идеальный
Augenblick	der Augenblick, -e		der	B1	moment	момент
reduzieren, reduziert, reduzierte, hat reduziert	reduzieren, reduziert, reduzierte, hat reduziert		verb	B1	to reduce, decrease	сокращать
Maschine	die Maschine, -n		die	A1	machine	машина
linear	linear		adj	B1	linear	линейный
ausmachen, macht aus, machte aus, hat ausgemacht	ausmachen, macht aus, machte aus, hat ausgemacht		verb	A1	to put out, agree	договариваться
eintreten, tritt ein, trat ein, hat eingetreten	eintreten, tritt ein, trat ein, hat eingetreten		verb	B1	to enter, join, occur	входить
kritisch	kritisch		adj	B1	critical	критический
äh	äh		part	B1	um	ээ
Wochenende	das Wochenende, -n		das	B1	weekend	выходные
Donnerstag	der Donnerstag, -e		der	B1	Thursday	четверг
Saison	die Saison, -s		die	B1	season	сезон
Forscher	der Forscher, -		der	B1	researcher	исследователь
gründen, gründet, gründete, hat gegründet	gründen, gründet, gründete, hat gegründet		verb	B1	to establish, found	основывать
offensichtlich	offensichtlich		adj	B1	obvious	очевидный
Teilchen	das Teilchen, -		das	B1	particle	частица
genügen, genügt, genügte, hat genügt	genügen, genügt, genügte, hat genügt		verb	B1	to be sufficient	хватать
schieben, schiebt, schob, hat geschoben	schieben, schiebt, schob, hat geschoben		verb	B1	to push	толкать
Computer	der Computer, -		der	A1	computer	компьютер
Effekt	der Effekt, -e		der	B1	effect	эффект
abnehmen, nimmt ab, nahm ab, hat abgenommen	abnehmen, nimmt ab, nahm ab, hat abgenommen		verb	B1	to lose weight, decrease, reduce	худеть
Verteilung	die Verteilung, -en		die	B1	distribution	распределение
blicken, blickt, blickte, hat geblickt	blicken, blickt, blickte, hat geblickt		verb	B1	to look	глядеть
beitragen, trägt bei, trug bei, hat beigetragen	beitragen, trägt bei, trug bei, hat beigetragen		verb	B1	to contribute	способствовать
Anwendung	die Anwendung, -en		die	B1	application, use	применение
zeichnen, zeichnet, zeichnete, hat gezeichnet	zeichnen, zeichnet, zeichnete, hat gezeichnet		verb	A2	to draw	рисовать
frisch	frisch		adj	A2	fresh	свежий
meistens	meistens		adv	A2	mostly	обычно
erwähnen, erwähnt, erwähnte, hat erwähnt	erwähnen, erwähnt, erwähnte, hat erwähnt		verb	B1	to mention	упоминать
Welle	die Welle, -n		die	B1	wave	волна
Nase	die Nase, -n		die	B1	nose	нос
vertreten, vertritt, vertrat, hat vertreten	vertreten, vertritt, vertrat, hat vertreten		verb	B1	to represent, advocate, substitute	замещать
dicht	dicht		adj	B1	thick, dense	густой
Soldat	der Soldat, -en		der	B1	soldier	солдат
bereit	bereit		adj	B1	ready	готовый
Technik	die Technik, -en		die	B1	technology, technique	техника
Blatt	das Blatt, -̈er		das	A2	sheet, leaf	лист
prägen, prägt, prägte, hat geprägt	prägen, prägt, prägte, hat geprägt		verb	B1	to shape, mint	формировать
sozusagen	sozusagen		adv	B1	so to speak	так сказать
November	der November, -		der	B1	November	ноябрь
Schweizer	Schweizer		adj	B1	Swiss person	швейцарский
gesund	gesund		adj	A2	healthy	здоровый
danken, dankt, dankte, hat gedankt	danken, dankt, dankte, hat gedankt		verb	A1	to thank	благодарить
Fußball	der Fußball, -̈e		der	A1	soccer, soccer ball	футбол
Umstand	der Umstand, -̈e		der	B1	circumstance	обстоятельство
einladen, lädt ein, lud ein, hat eingeladen	einladen, lädt ein, lud ein, hat eingeladen		verb	A1	to invite, load	приглашать; загружать
Kilogramm, kg	Kilogramm, kg		das	B1	kilogram	килограмм
warm	warm		adj	A2	warm	теплый
Integration	die Integration, -en		die	B1	integration	интеграция
Nachbar	der Nachbar, -n		der	A2	neighbor	сосед
maximal	maximal		adj	B1	maximum	максимальный
Figur	die Figur, -en		die	B1	figure	фигура
Freude	die Freude, -n		die	B1	joy	радость
offiziell	offiziell		adj	B1	official	официальный
außen	außen		adj	B1	outside	внешний
Kreis	der Kreis, -e		der	B1	circle, district	круг; район; округ
nicken, nickt, nickte, hat genickt	nicken, nickt, nickte, hat genickt		verb	B1	to nod	кивать
digital	digital		adj	B1	digital	цифровой
unbekannt	unbekannt		adj	B1	unknown	неизвестный
Gericht	das Gericht, -e		das	A2	court, dish	суд; блюдо
schätzen, schätzt, schätzte, hat geschätzt	schätzen, schätzt, schätzte, hat geschätzt		verb	B1	to estimate, value	оценивать
organisieren, organisiert, organisierte, hat organisiert	organisieren, organisiert, organisierte, hat organisiert		verb	A2	to organize	организовывать
Aspekt	der Aspekt, -e		der	B1	aspect	аспект
verzichten, verzichtet, verzichtete, hat verzichtet	verzichten, verzichtet, verzichtete, hat verzichtet		verb	B1	to do without	отказываться
bemerken, bemerkt, bemerkte, hat bemerkt	bemerken, bemerkt, bemerkte, hat bemerkt		verb	B1	to notice	замечать
Kaffee	der Kaffee, -s		der	A1	coffee	кофе
Leid	das Leid		das, adv	B1	sorrow, grief; (be) tired (of)	страдание; сытый
still	still		adj	B1	still, quiet	тихий
leiten, leitet, leitete, hat geleitet	leiten, leitet, leitete, hat geleitet		verb	B1	to lead	руководить
Vertreter	der Vertreter, -		der	B1	representative	представитель
Statistik	die Statistik, -en		die	B1	statistics	статистика
Heimat	die Heimat, -en		die	A1	home, homeland	родина
Milliliter, ml	Milliliter, ml		der	B1	milliliter	миллилитр
zurückkehren, kehrt zurück, kehrte zurück, ist zurückgekehrt	zurückkehren, kehrt zurück, kehrte zurück, ist zurückgekehrt		verb	B1	to return	возвращаться
Gegenstand	der Gegenstand, -̈e		der	B1	object	предмет
euer	euer		pron	A1	your	ваш
umsetzen, setzt um, setzte um, hat umgesetzt	umsetzen, setzt um, setzte um, hat umgesetzt		verb	B1	to implement, move, put (into practice)	реализовать
betreiben, betreibt, betrieb, hat betrieben	betreiben, betreibt, betrieb, hat betrieben		verb	B1	to proceed with, operate, run	управлять
Zusammenarbeit	die Zusammenarbeit		die	B1	cooperation	сотрудничество
enden, endet, endete, hat geendet	enden, endet, endete, hat geendet		verb	A1	to end	заканчиваться
vielmehr	vielmehr		adv	B1	rather	скорее
konzentrieren, konzentriert, konzentrierte, hat konzentriert	konzentrieren, konzentriert, konzentrierte, hat konzentriert		verb	B1	to concentrate	концентрироваться
landen, landet, landete, ist gelandet	landen, landet, landete, ist gelandet		verb	B1	to land	приземляться
See	der See, -n		der, die	A1	lake; sea	озеро; море
Tourist	der Tourist, -en		der	A2	tourist	турист
Konzentration	die Konzentration, -en		die	B1	concentration	концентрация
verbieten, verbietet, verbot, hat verboten	verbieten, verbietet, verbot, hat verboten		verb	A2	to forbid, prohibit	запрещать
krank	krank		adj	A1	sick, ill	больной
Fähigkeit	die Fähigkeit, -en		die	B1	ability, capability	способность
finanziell	finanziell		adj	B1	financial	финансовый
Jugendliche	die Jugendliche		der, die	A1	adolescent	подросток
Netz	das Netz, -e		das	B1	net, network	сеть
Änderung	die Änderung, -en		die	B1	change, modification, alteration	изменение
abschließen, schließt ab, schloss ab, hat abgeschlossen	abschließen, schließt ab, schloss ab, hat abgeschlossen		verb	A2	to lock, conclude	запирать
Erkenntnis	die Erkenntnis, -se		die	B1	realization, discovery	осознание
selbstverständlich	selbstverständlich		adj	B1	natural, self-evident, obvious	само собой разумеющийся
erzeugen, erzeugt, erzeugte, hat erzeugt	erzeugen, erzeugt, erzeugte, hat erzeugt		verb	B1	to produce, generate	производить
Ursache	die Ursache, -n		die	B1	cause	причина
ursprünglich	ursprünglich		adj	B1	original	первоначальный
Basis	die Basis, -en		die	B1	basis	основа
erzielen, erzielt, erzielte, hat erzielt	erzielen, erzielt, erzielte, hat erzielt		verb	B1	to achieve, reach	достигать
Forschung	die Forschung, -en		die	B1	research	исследование
schießen, schießt, schoss, hat geschossen	schießen, schießt, schoss, hat geschossen		verb	B1	to shoot	стрелять
warnen, warnt, warnte, hat gewarnt	warnen, warnt, warnte, hat gewarnt		verb	B1	to warn	предупреждать
Zentimeter, cm	Zentimeter, cm		der	B1	centimeter, cm	сантиметр
eröffnen, eröffnet, eröffnete, hat eröffnet	eröffnen, eröffnet, eröffnete, hat eröffnet		verb	B1	to open, start	открывать
Ahnung	die Ahnung, -en		die	A2	suspicion, idea	предчувствие
ankündigen, kündigt an, kündigte an, hat angekündigt	ankündigen, kündigt an, kündigte an, hat angekündigt		verb	B1	to announce	объявлять
Enzym	das Enzym, -e		das	B1	enzyme	фермент
individuell	individuell		adj	B1	individual	индивидуальный
intensiv	intensiv		adj	B1	intensive	интенсивный
Bundesregierung	die Bundesregierung, -en		die	B1	federal government	федеральное правительство
begreifen, begreift, begriff, hat begriffen	begreifen, begreift, begriff, hat begriffen		verb	B1	to understand, grasp	понимать
Szene	die Szene, -n		die	B1	scene	сцена
DDR	DDR (Deutsche Demokratische Republik)		die	B1		ГДР
rasch	rasch		adj	B1	quick	быстрый
real	real		adj	B1	real	реальный
Abgeordnete	die Abgeordnete		der, die	B1	member of parliament, congress	депутат
verstärken, verstärkt, verstärkte, hat verstärkt	verstärken, verstärkt, verstärkte, hat verstärkt		verb	B1	to strengthen, reinforce	усиливать
ausschließen, schließt aus, schloss aus, hat ausgeschlossen	ausschließen, schließt aus, schloss aus, hat ausgeschlossen		verb	B1	to exclude, rule out	исключать
sinnvoll	sinnvoll		adj	B1	sensible, meaningful	осмысленный
Bezug	der Bezug, -̈e		der	B1	reference, cover	отношение; чехол; получение
Dienstag	der Dienstag, -e		der	B1	Tuesday	вторник
Stand	der Stand, -̈e		der	B1	stand, stage	киоск
retten, rettet, rettete, hat gerettet	retten, rettet, rettete, hat gerettet		verb	B1	to save, rescue	спасать
zwanzig	zwanzig		num	A1	twenty	двадцать
Club	der Club, -s		der	A2	club	клуб
Gewalt	die Gewalt, -en		die	B1	violence, force	насилие
gucken, guckt, guckte, hat geguckt	gucken, guckt, guckte, hat geguckt (kucken)		verb	B1	to look	смотреть
Anschlag	der Anschlag, -̈e		der	B1	attack	теракт
beeinflussen, beeinflusst, beeinflusste, hat beeinflusst	beeinflussen, beeinflusst, beeinflusste, hat beeinflusst		verb	B1	to influence	влиять
riechen, riecht, roch, hat gerochen	riechen, riecht, roch, hat gerochen		verb	A1	to smell	пахнуть
außerhalb	außerhalb		prep	A2	outside	вне
begleiten, begleitet, begleitete, hat begleitet	begleiten, begleitet, begleitete, hat begleitet		verb	B1	to accompany	сопровождать
Publikum, Publika	das Publikum, die Publika		das	B1	public, audience	публика
Besucher	der Besucher, -		der	B1	visitor	посетитель
Wachstum	das Wachstum		das	B1	growth	рост
aufgeben, gibt auf, gab auf, hat aufgegeben	aufgeben, gibt auf, gab auf, hat aufgegeben		verb	B1	to give up	сдаваться
stolz	stolz		adj	B1	proud	гордый
Verlust	der Verlust, -e		der	B1	loss	потеря
begründen, begründet, begründete, hat begründet	begründen, begründet, begründete, hat begründet		verb	A2	to justify	обосновывать
streng	streng		adj	A2	strict	строгий
Ecke	die Ecke, -n		die	A1	corner	угол
Lauf	der Lauf, -̈e		der	B1	course, run, race	бег
Artikel	der Artikel, -		der	A2	article	статья; предмет; артикль
berühmt	berühmt		adj	A2	famous	знаменитый
ersetzen, ersetzt, ersetzte, hat ersetzt	ersetzen, ersetzt, ersetzte, hat ersetzt		verb	B1	to replace, reimburse	заменять
Wahrscheinlichkeit	die Wahrscheinlichkeit, -en		die	B1	probability	вероятность
Ausland	das Ausland		das	A1	foreign countries	заграница
bayrisch	bayrisch		adj	B1	Bavarian	баварский
diesmal	diesmal		adv	B1	this time	в этот раз
Gehirn	das Gehirn, -e		das	B1	brain	мозг
Gebäude	das Gebäude, -		das	B1	building	здание
langfristig	langfristig		adj	B1	long-term	долгосрочный
herzlich	herzlich		adj	A1	cordial, warm	сердечный
sichern, sichert, sicherte, hat gesichert	sichern, sichert, sicherte, hat gesichert		verb	B1	to secure, safeguard	обеспечивать
Material	das Material, -ien		das	B1	material	материал
verbringen, verbringt, verbrachte, hat verbracht	verbringen, verbringt, verbrachte, hat verbracht		verb	B1	to spend (time)	проводить
Strom	der Strom, -̈e		der	B1	stream, current, electricity	ток
Amt	das Amt, -Äer		das	B1	office, department, function	должность
kritisieren, kritisiert, kritisierte, hat kritisiert	kritisieren, kritisiert, kritisierte, hat kritisiert		verb	B1	to criticize	критиковать
vermitteln, vermittelt, vermittelte, hat vermittelt	vermitteln, vermittelt, vermittelte, hat vermittelt		verb	B1	to convey, mediate, find, procure	трудоустраивать
Wirklichkeit	die Wirklichkeit, -en		die	B1	reality	реальность
Union	die Union, -en		die	B1	union	союз
Studium	das Studium, -en		das	A1	study, studies	учёба
festhalten, hält fest, hielt fest, hat festgehalten	festhalten, hält fest, hielt fest, hat festgehalten		verb	B1	to hold on to, detain	задерживать
präsentieren, präsentiert, präsentierte, hat präsentiert	präsentieren, präsentiert, präsentierte, hat präsentiert		verb	B1	to present, show	представлять
Demokratie	die Demokratie, -n		die	B1	democracy	демократия
niemals	niemals		adv	B1	never	никогда
Aufnahme	die Aufnahme, -n		die	B1	reception, recording, snapshot	запись
Ausnahme	die Ausnahme, -n		die	B1	exception	исключение
beenden, beendet, beendete, hat beendet	beenden, beendet, beendete, hat beendet		verb	A2	to end	заканчивать
Investition	die Investition, -en		die	B1	investment	инвестиция
Lust	die Lust, -̈e		die	A2	desire	желание
prüfen, prüft, prüfte, hat geprüft	prüfen, prüft, prüfte, hat geprüft		verb	A2	to examine, check	проверять
anlegen, legt an, legte an, hat angelegt	anlegen, legt an, legte an, hat angelegt		verb	B1	to put on, invest	вкладывать
Zuschauer	der Zuschauer, -		der	B1	spectator	зритель
hell	hell		adj	A1	light, bright	светлый
mitten	mitten		adv	B1	in the middle	посреди
zufolge	zufolge		prep	B1	according to	согласно
Konflikt	der Konflikt, -e		der	B1	conflict	конфликт
Bahn	die Bahn, -en		die	A1	train, railway, way	поезд
Syrien	Syrien		das	B1	Syria	Сирия
Einkommen	das Einkommen, -		das	B1	income	доход
empfehlen, empfiehlt, empfahl, hat empfohlen	empfehlen, empfiehlt, empfahl, hat empfohlen		verb	A1	to recommend	рекомендовать
britisch	britisch		adj	B1	British	британский
fürchten, fürchtet, fürchtete, hat gefürchtet	fürchten, fürchtet, fürchtete, hat gefürchtet		verb	B1	to fear	бояться
vorbereiten, bereitet vor, bereitete vor, hat vorbereitet	vorbereiten, bereitet vor, bereitete vor, hat vorbereitet		verb	A2	to prepare	подготавливать
Aktivität	die Aktivität, -en		die	B1	activity	активность
Auftrag	der Auftrag, -̈e		der	B1	instructions, order, job	поручение
froh	froh		adj	A2	happy, glad	радостный
äußern, äußert, äußerte, hat geäußert	äußern, äußert, äußerte, hat geäußert		verb	B1	to express, voice	выражать
Geist	der Geist, -er		der	B1	mind, spirit	дух
Objekt	das Objekt, -e		das	B1	object	объект
möglicherweise	möglicherweise		adv	B1	possibly	возможно
zuständig	zuständig		adj	B1	appropriate, responsible	ответственный
aufweisen, weist auf, wies auf, hat aufgewiesen	aufweisen, weist auf, wies auf, hat aufgewiesen		verb	B1	to show, exhibit, contain	обнаруживать
springen, springt, sprang, ist gesprungen	springen, springt, sprang, ist gesprungen		verb	B1	to jump	прыгать
Hof	der Hof, -̈e		der	B1	courtyard, yard	двор
Polizist	der Polizist, -en		der	B1	police officer, policeman	полицейский
Übung	die Übung, -en		die	B1	exercise, practice	упражнение; практика; тренировка
Widerstand	der Widerstand, -̈e		der	B1	resistance, opposition	сопротивление
anziehen, zieht an, zog an, hat angezogen	anziehen, zieht an, zog an, hat angezogen		verb	B1	to attract, put on, dress	привлекать; одеваться; надевать
Experte	der Experte, -n		der	B1	expert	эксперт
ohnehin	ohnehin		adv	B1	anyway	всё равно
füllen, füllt, füllte, hat gefüllt	füllen, füllt, füllte, hat gefüllt		verb	B1	to fill	наполнять
Gemeinde	die Gemeinde, -n		die	B1	community, municipality	муниципалитет; община
Pause	die Pause, -n		die	A1	pause, break	пауза
scharf	scharf		adj	A2	sharp	острый
schütteln, schüttelt, schüttelte, hat geschüttelt	schütteln, schüttelt, schüttelte, hat geschüttelt		verb	B1	to shake	трясти
Fernsehen	das Fernsehen		das	A1	television	телевидение
Formel	die Formel, -n		die	B1	formula	формула
gelb	gelb		adj	B1	yellow	желтый
Sommersemester	das Sommersemester, -		das	B1	summer semester	летний семестр
heftig	heftig		adj	B1	hard, heavy, violent	сильный
Bühne	die Bühne, -n		die	B1	stage	сцена
empfinden, empfindet, empfand, hat empfunden	empfinden, empfindet, empfand, hat empfunden		verb	B1	to feel	чувствовать
Schaden	der Schaden, -̈		der	B1	damage	ущерб
umgekehrt	umgekehrt		adj	B1	reversed, contrary, around	обратный
veröffentlichen, veröffentlicht, veröffentlichte, hat veröffentlicht	veröffentlichen, veröffentlicht, veröffentlichte, hat veröffentlicht		verb	B1	to publish	опубликовать
aufstellen, stellt auf, stellte auf, hat aufgestellt	aufstellen, stellt auf, stellte auf, hat aufgestellt		verb	B1	to put up, draw up	устанавливать
abhängig	abhängig		adj	B1	dependent	зависимый
Strecke	die Strecke, -n		die	B1	distance, route	маршрут
Praxis	die Praxis, -en		die	A1	practice, doctor’s office	практика; врачебный кабинет; определенный артикль
ungefähr	ungefähr		adj	B1	approximately	приблизительный
mitnehmen, nimmt mit, nahm mit, hat mitgenommen	mitnehmen, nimmt mit, nahm mit, hat mitgenommen		verb	A1	to take (along)	брать
üblich	üblich		adj	B1	usual	обычный
übertragen	übertragen		verb	B1	to transfer	передавать
Wissenschaft	die Wissenschaft, -en		die	B1	science	наука
global	global		adj	B1	global	глобальный
Nachmittag	der Nachmittag, -e		der	B1	afternoon	послеполуденное время
Annahme	die Annahme, -n		die	B1	acceptance, assumption	предположение; принятие; получение
Umgebung	die Umgebung, -en		die	B1	surroundings	окружение
Öffentlichkeit	die Öffentlichkeit, -en		die	B1	public	общественность
Spiegel	der Spiegel, -		der	B1	mirror	зеркало
zurückkommen, kommt zurück, kam zurück, ist zurückgekommen	zurückkommen, kommt zurück, kam zurück, ist zurückgekommen		verb	B1	to return	возвращаться
besetzen, besetzt, besetzte, hat besetzt	besetzen, besetzt, besetzte, hat besetzt		verb	B1	to occupy, fill	занимать
Gegenteil	das Gegenteil, -e		das	A2	opposite	противоположность
vorbei	vorbei		adv	A2	past, over	позади
Fan	der Fan, -s		der	A2	fan, supporter	фанат
Karte	die Karte, -n		die	A1	card, ticket, menu	билет; карта; меню
arm	arm		adj	A1	poor	бедный
Krise	die Krise, -n		die	B1	crisis	кризис
Strategie	die Strategie, -n		die	B1	strategy	стратегия
Debatte	die Debatte, -n		die	B1	debate	дебаты
davor	davor		pron	B1	before, in front of	перед этим
Journalist	der Journalist, -en		der	B1	journalist	журналист
kochen, kocht, kochte, hat gekocht	kochen, kocht, kochte, hat gekocht		verb	A1	to cook	готовить
zurückgehen, geht zurück, ging zurück, ist zurückgegangen	zurückgehen, geht zurück, ging zurück, ist zurückgegangen		verb	B1	to go back, decrease	возвращаться; уменьшаться; отступать
Schmerz	der Schmerz, -en		der	A2	pain, grief	боль
erheblich	erheblich		adj	B1	considerable	значительный
ausschließlich	ausschließlich		adj	B1	exclusive	исключительный
griechisch	griechisch		adj, das	B1	Greek; Greek	греческий
naja	naja		part	B1	(oh) well	ну
Runde	die Runde, -n		die	B1	round	раунд
Angriff	der Angriff, -e		der	B1	attack	нападение
einführen, führt ein, führte ein, hat eingeführt	einführen, führt ein, führte ein, hat eingeführt		verb	B1	to introduce, import	импортировать
desto	desto		adv	B1	the more	тем
Wettbewerb	der Wettbewerb, -e		der	A2	competition	соревнование
verfügen, verfügt, verfügte, hat verfügt	verfügen, verfügt, verfügte, hat verfügt		verb	B1	to have sth at one’s disposal, be in charge	располагать
woher	woher		pron	A1	from where, how	откуда
Zweifel	der Zweifel, -		der	B1	doubt	сомнение
Konzern	der Konzern, -e		der	B1	corporation	концерн
tanzen, tanzt, tanzte, hat getanzt	tanzen, tanzt, tanzte, hat getanzt		verb	A1	to dance	танцевать
überleben, überlebt, überlebte, hat überlebt	überleben, überlebt, überlebte, hat überlebt		verb	B1	to survive	выживать
spezifisch	spezifisch		adj	B1	specific	специфический
stabil	stabil		adj	B1	stable, sturdy	устойчивый
Kamera	die Kamera, -s		die	A2	camera	камера
Schatten	der Schatten, -		der	B1	shadow, shade	тень
berücksichtigen, berücksichtigt, berücksichtigte, hat berücksichtigt	berücksichtigen, berücksichtigt, berücksichtigte, hat berücksichtigt		verb	B1	to consider	учитывать
Pferd	das Pferd, -e		das	A2	horse	лошадь
begegnen, begegnet, begegnete, ist begegnet	begegnen, begegnet, begegnete, ist begegnet		verb	B1	to meet, encounter, come across	встречать
Zugang	der Zugang, -̈e		der	B1	access	доступ
elf	elf		num	A1	eleven	одиннадцать
Suche	die Suche, -n		die	B1	search	поиск
doppelt	doppelt		adj	B1	double	двойной
festlegen, legt fest, legte fest, hat festgelegt	festlegen, legt fest, legte fest, hat festgelegt		verb	B1	to determine, fix, lay down	устанавливать
österreichisch	österreichisch		adj	B1	Austrian	австрийский
sodass	sodass		conj	B1	so that	так чтобы
Tatsache	die Tatsache, -n		die	B1	fact	факт
Alkohol	der Alkohol, -e		der	B1	alcohol	алкоголь
informieren, informiert, informierte, hat informiert	informieren, informiert, informierte, hat informiert		verb	A2	to inform	информировать
Norden, Nord-	Norden, Nord-		der	B1	north	север
vermuten, vermutet, vermutete, hat vermutet	vermuten, vermutet, vermutete, hat vermutet		verb	B1	to assume, suspect	предполагать
zufrieden	zufrieden		adj	A1	satisfied	довольный
reißen, reißt, riss, hat gerissen	reißen, reißt, riss, hat gerissen		verb	B1	to tear	рваться
dahin	dahin		adv	B1	there	туда
solange	solange		conj	B1	as long as	пока
Wissenschaftler	der Wissenschaftler, -		der	B1	scholar, scientist	ученый
Kommunikation	die Kommunikation, -en		die	B1	communication	коммуникация
Steuer	das Steuer, -		die, das	B1	tax; steering wheel, helm	налог; руль
