note_id;last modification time;tags;Rank;Word;IPA;Part-of-Speech 1;Definition 1;Definition 1 Russian;German 1;English 1;Russian 1;Part-of-Speech 2;Definition 2;Definition 2 Russian;German 2;English 2;Russian 2;Part-of-Speech 3;Definition 3;Definition 3 Russian;German 3;English 3;Russian 3;Frequency;WordAudio;Level;WordFamily;Conjugation;SentenceAudio1;SentenceAudio2;SentenceAudio3;Image;Morphology Russain
1679807417893;1784823420;B1 das;1198;Griechenland;ˈɡʁiːçn̩ˌlant;das;Greece;Греция;Griechenland ist Mitglied in der Europäischen Union.;Greece is a member of the European Union.;Греция является членом Европейского союза.;;;;;;;;;;;;;72.7918180616559 | 0.800849154766437;;B1;;;;;;;
1679807417894;1784823421;B1 das;1199;das Maß, -e;maːs;das;measure;размер;Hast du die Maße der neuen Wohnung?;Do you have the measurements of the new apartment?;У тебя есть размеры новой квартиры?;;;мера;;;;;;измерение;;;;72.7425345016954 | 0.915983922642805;;B1;;;;;;;
1679807417895;1784823422;A1 verb;1200;abgeben, gibt ab, gab ab, hat abgegeben;ˈapˌɡeːbn̩;verb;to give, hand in, submit;сдавать;Morgen müssen wir einen Text bei Herrn Schneider abgeben.;Tomorrow we have to hand in a text to Mr. Schneider.;Завтра мы должны сдать текст господину Шнайдеру.;;;;;;;;;;;;;72.6439673817744 | 0.921508898391602;;A1;;ichgebe abdugibst aber/sie/esgibt abwirgeben abihrgibt absie/Siegeben abPrät. ich gab ab | Perf. ich habe abgegeben;;;;;
1679807417896;1784823423;B1 der;1201;der Bericht, -e;bəˈʁɪçt;der;report;отчет;Der Bericht wurde einen Tag vor der Wahl veröffentlicht.;The report was published one day before the election.;Отчет был опубликован за день до выборов.;;;;;;;;;;;;;72.5946838218139 | 0.892548402194837;;B1;;;;;;;
1679807417897;1784823425;A2 die;1202;die Qualität, -en;ˌkvaliˈtɛːt;die;quality;качество;Sie verkaufen nur Produkte mit hoher Qualität.;They only sell products of high quality.;Они продают только продукты высокого качества.;;;;;;;;;;;;;72.5946838218139 | 0.914608104425067;;A2;;;;;;;
1679807417898;1784823426;B1 der;1203;der Rand, -̈er;ʁant;der;edge;край;Sie sitzt auf dem Rand ihres Stuhles.;She’s sitting on the edge of her chair.;Она сидит на краю своего стула.;;;;;;;;;;;;;72.5946838218139 | 0.926247736498784;;B1;;;;;;;
1679807417899;1784823427;B1 das;1204;Italien;iˈtaːli̯ən;das;Italy;Италия;Rom ist die Hauptstadt von Italien.;Rome is the capital of Italy.;Рим — столица Италии.;;;;;;;;;;;;;72.3975495819719 | 0.888895345635655;;B1;;;;;;;
1679807417900;1784823433;B1 der;1205;der Kern, -e;kɛʁn;der;seed, core, nucleus;суть;Wir sollten den Kern des Problems analysieren.;We should analyze the core of the problem.;Нам следует проанализировать суть проблемы.;;;;;;;;;;;;;72.3975495819719 | 0.837869580654706;;B1;;;;;;;
1679807417901;1784823434;B1 der;1206;der Winter, -;ˈvɪntɐ;der;winter;зима;Der Winter dauert von November bis März.;Winter lasts from November to March.;Зима длится с ноября по март.;;;;;;;;;;;;;72.3975495819719 | 0.897530091094158;;B1;;;;;;;
1679807417902;1784823436;B1 der;1207;der Hintergrund, -̈e;ˈhɪntɐˌɡʁʊnt;der;background;фон;Theresa wird vor einem schwarzen Hintergrund fotografiert.;Theresa is photographed against a black background.;Терезу фотографируют на черном фоне.;;;;;;;;;;;;;72.3482660220114 | 0.928206387213326;;B1;;;;;;;
1679807417903;1784823437;B1 der;1208;Osten, Ost-;ˈɔstn̩;der;east;восток;Die Sonne geht im Osten auf.;The sun rises in the east.;Солнце восходит на востоке.;;;;;;;;;;;;;72.3482660220114 | 0.907193182072841;;B1;;;;;;;
1679807417904;1784823438;B1 das;1209;Amerika;aˈmeːʁika;das;America;Америка;Amerika importiert Autos und Öl.;America imports cars and oil.;Америка импортирует автомобили и нефть.;;;;;;;;;;;;;72.2989824620509 | 0.888777640601666;;B1;;;;;;;
1679807417905;1784823440;A1 adj;1210;geboren;ɡəˈboːʁən;adj;born;прирожденный;Er ist ein geborener Sänger.;He’s a born singer.;Он прирожденный певец.;;;;;;;;;;;;;72.2989824620509 | 0.912421740627502;;A1;;;;;;;
1679807417906;1784823446;A2 adj;1211;gefährlich;ɡəˈfɛːɐ̯lɪç;adj;dangerous;опасный;Das Schiff transportiert gefährliche Substanzen.;The ship transports dangerous substances.;Корабль перевозит опасные вещества.;;;;;;;;;;;;;72.2989824620509 | 0.934988491621805;;A2;;;;;;;
1679807417907;1784823447;B1 verb;1212;zwingen, zwingt, zwang, hat gezwungen;ˈt͡svɪŋən;verb;to force;заставлять;Markus möchte nicht zur Schule gehen, aber seine Mutter zwingt ihn.;Markus doesn’t want to go to school, but his mother forces him.;Маркус не хочет идти в школу, но его мать заставляет его.;;;;;;;;;;;;;72.2989824620509 | 0.942892675561801;;B1;;ichzwingeduzwingster/sie/eszwingtwirzwingenihrzwingtsie/SiezwingenPrät. ich zwang | Perf. ich habe gezwungen;;;;;
1679807417908;1784823448;A1 das;1213;das Bier, -e;biːɐ̯;das;beer;пиво;Möchtest du ein Bier?;Would you like a beer?;Хочешь пива?;;;;;;;;;;;;;72.2496989020904 | 0.888270960565256;;A1;;;;;;;
1679807417909;1784823449;B1 verb;1214;ansprechen, spricht an, sprach an, hat angesprochen;ˈanˌʃpʁɛçn̩;verb;to address, speak;обсуждать;Wenn du ein Problem mit Tom hast, musst du es ansprechen.;If you have a problem with Tom, you have to bring it up.;Если у тебя есть проблема с Томом, ты должен ее обсудить.;;;;;;;;;;;;;72.2004153421299 | 0.912054040663061;;B1;;ichspreche andusprichst aner/sie/esspricht anwirsprechen anihrspricht ansie/Siesprechen anPrät. ich sprach an | Perf. ich habe angesprochen;;;;;
1679807417910;1784823450;adj B1;1215;komplett;kɔmˈplɛt;adj;complete;полный;Ich biete dir meine komplette Sammlung an Filmen an.;I offer you my complete film collection.;Я предлагаю тебе мою полную коллекцию фильмов.;;;;;;;;;;;;;72.2004153421299 | 0.923506460269302;;B1;;;;;;;
1679807417911;1784823451;B1 die;1216;die Forderung, -en;ˈfɔʁdəʁʊŋ;die;demand, claim;требование;Die Regierung ignoriert die Forderung nach freien Wahlen.;The government ignores the demand for free elections.;Правительство игнорирует требование о свободных выборах.;;;;;;;;;;;;;72.1511317821694 | 0.851745928608279;;B1;;;;;;;
1679807417912;1784823452;B1 verb;1217;gelangen, gelangt, gelangte, ist gelangt;ɡəˈlaŋən;verb;to reach;достигать;Endlich gelangen sie an das Ziel.;Finally, they reach the goal.;Наконец они добираются до цели.;;;;;;;;;;;;;72.0032811022879 | 0.911852036109915;;B1;;ichgelangedugelangster/sie/esgelangtwirgelangenihrgelangtsie/SiegelangenPrät. ich gelangte | Perf. ich bin gelangt;;;;;
1679807417913;1784823454;A2 die;1218;die Nachricht, -en;ˈnaːxˌʁɪçt;die;news, message;сообщение;Hast du meine Nachricht gelesen?;Did you read my message?;Ты прочитал мое сообщение?;;;;;;;;;;;;;72.0032811022879 | 0.9191742223869;;A2;;;;;;;
1679807417914;1784823455;A2 verb;1219;sammeln, sammelt, sammelte, hat gesammelt;ˈzaml̩n;verb;to collect, gather;собирать;Sie sammelt Steine aus verschiedenen Ländern.;She collects stones from various countries.;Она собирает камни из разных стран.;;;;;;;;;;;;;71.9539975423274 | 0.944999013981882;;A2;;ichsammedusammelster/sie/essammeltwirsammelnihrsammeltsie/SiesammelnPrät. ich sammelte | Perf. ich habe gesammelt;;;;;
1679807417915;1784823456;B1 verb;1220;ablehnen, lehnt ab, lehnte ab, hat abgelehnt;ˈapˌleːnən;verb;to refuse, reject, turn down;отклонять;Ich lehne das Angebot ab, weil ich meinen jetzigen Job sehr mag.;I’m refusing the offer because I like my current job very much.;Я отклоняю это предложение, потому что мне очень нравится моя нынешняя работа.;;;;;;;;;;;;;71.9047139823669 | 0.91002587069715;;B1;;ichlehne abdulehnst aber/sie/eslehnt abwirlehnen abihrlehnt absie/Sielehnen abPrät. ich lehnte ab | Perf. ich habe abgelehnt;;;;;
1679807417916;1784823457;B1 verb;1221;stoßen, stößt, stieß, hat gestoßen;ˈʃtoːsn̩;verb;to bump, push;стукаться;Er stößt mit dem Kopf an die Decke, weil er so groß ist.;He bumps his head against the ceiling because he’s so tall.;Он ударяется головой о потолок, потому что он такой высокий.;;;;;;;;;;;;;71.8061468624459 | 0.919457065677921;;B1;;ichstoßedustößter/sie/esstößtwirstoßenihrstößtsie/SiestoßenPrät. ich stieß | Perf. ich habe gestoßen;;;;;
1679807417917;1784823458;adj B1;1222;konstant;kɔnˈstant;adj;constant;постоянный;Er fährt mit konstanter Geschwindigkeit.;He drives at a constant speed.;Он едет с постоянной скоростью.;;;;;;;;;;;;;71.7075797425249 | 0.762363546569307;;B1;;;;;;;
1679807417918;1784823459;B1 der;1223;der Oktober, -;ɔkˈtoːbɐ;der;October;октябрь;Diesen Oktober gibt es viele Stürme.;There are many storms this October.;В этом октябре много штормов.;;;;;;;;;;;;;71.7075797425249 | 0.873294268397446;;B1;;;;;;;
1679807417919;1784823460;B1 verb;1224;umgehen, umgeht, umging, hat umgangen;ʊmˈɡeːən;verb;to treat, handle;обращаться;Weißt du, wie man mit einer Waffe umgeht?;Do you know how to handle a gun?;Ты знаешь, как обращаться с оружием?;;;;;;;;;;;;;71.7075797425249 | 0.918117168366184;;B1;;ichumgeheduumgehster/sie/esumgehtwirumgehenihrumgehtsie/SieumgehenPrät. ich umging | Perf. ich habe umgangen;;;;;
1679807417920;1784823461;B1 verb;1225;angehen, geht an, ging an, ist angegangen;ˈanˌɡeːən;verb;to concern, go on;касаться;Dieses Thema geht uns alle an.;This issue concerns all of us.;Эта тема касается всех нас.;;;;;;;;;;;;;71.6582961825644 | 0.914674349694312;;B1;;ichgehe andugehst aner/sie/esgeht anwirgehen anihrgeht ansie/Siegehen anPrät. ich ging an | Perf. ich bin angegangen;;;;;
1679807417921;1784823462;B1 verb;1226;verlaufen, verläuft, verlief, ist verlaufen;fɛɐ̯ˈlaʊ̯fn̩;verb;to proceed, get lost;проходить;Zum Glück verläuft das Konzert ohne technische Probleme.;Fortunately the concert proceeds without technical problems.;К счастью, концерт проходит без технических проблем.;;;заблудиться;;;;;;проходить;;;;71.6582961825644 | 0.811050747708066;;B1;;ichverlaufeduverläufster/sie/esverläuftwirverlaufenihrverläuftsie/SieverlaufenPrät. ich verlief | Perf. ich bin verlaufen;;;;;
1679807417922;1784823463;adv B1;1227;demnach;ˈdeːmˈnaːx;adv;therefore;следовательно;Es gibt demnach nur zwei Möglichkeiten.;There are therefore only two possibilities.;Следовательно, существует только две возможности.;;;;;;;;;;;;;71.5597290626434 | 0.854524627720504;;B1;;;;;;;
1679807417923;1784823464;B1 verb;1228;auftauchen, taucht auf, tauchte auf, ist aufgetaucht;ˈaʊ̯fˌtaʊ̯xn̩;verb;to surface, appear;появляться;Manchmal verschwindet meine Katze, aber dann taucht sie wieder auf.;Sometimes my cat disappears, but then it appears again.;Иногда моя кошка исчезает, но потом она снова появляется.;;;;;;;;;;;;;71.4611619427224 | 0.918332392758003;;B1;;ichtauche aufdutauchst aufer/sie/estaucht aufwirtauchen aufihrtaucht aufsie/Sietauchen aufPrät. ich tauchte auf | Perf. ich bin aufgetaucht;;;;;
1679807417924;1784823465;A1 adj;1229;böse;ˈbøːzə;adj;bad, mad;злой;Warum bist du böse auf mich?;Why are you mad at me?;Почему ты злишься на меня?;;;;;;;;;;;;;71.4611619427224 | 0.892215300867465;;A1;;;;;;;
1679807417925;1784823467;B1 verb;1230;auslösen, löst aus, löste aus, hat ausgelöst;ˈaʊ̯sˌløːzn̩;verb;to set off, provoke;вызывать;Seine Rede löst eine öffentliche Debatte aus.;His speech provokes a public debate.;Его речь вызывает общественные дебаты.;;;;;;;;;;;;;71.4118783827619 | 0.905998327479122;;B1;;ichlöse ausdulöst auser/sie/eslöst auswirlösen ausihrlöst aussie/Sielösen ausPrät. ich löste aus | Perf. ich habe ausgelöst;;;;;
1679807417926;1784823468;B1 verb;1231;weitergehen, geht weiter, ging weiter, ist weitergegangen;ˈvaɪ̯tɐˌɡeːən;verb;to go on, continue;продолжаться;Der Kurs geht nächstes Semester weiter.;The course will continue next semester.;Курс продолжится в следующем семестре.;;;;;;;;;;;;;71.4118783827619 | 0.929094367952204;;B1;;ichgehe weiterdugehst weiterer/sie/esgeht weiterwirgehen weiterihrgeht weitersie/Siegehen weiterPrät. ich ging weiter | Perf. ich bin weitergegangen;;;;;
1679807417927;1784823469;B1 verb;1232;abhängen, hängt ab, hing ab, hat abgehangen;ˈapˌhɛŋən;verb;to depend;зависеть;Die Gesundheit der Menschen hängt auch von ihren Genen ab.;People’s health also depends on their genes.;Здоровье людей также зависит от их генов.;;;;;;;;;;;;;71.3625948228014 | 0.886052316672388;;B1;;ichhänge abduhängst aber/sie/eshängt abwirhängen abihrhängt absie/Siehängen abPrät. ich hing ab | Perf. ich habe abgehangen;;;;;
1679807417928;1784823470;B1 die;1233;die Geschwindigkeit, -en;ɡəˈʃvɪndɪçkaɪ̯t;die;speed;скорость;Sie fährt mit hoher Geschwindigkeit.;She’s driving at high speed.;Она едет на высокой скорости.;;;;;;;;;;;;;71.313311262841 | 0.763922006597421;;B1;;;;;;;
1679807417929;1784823472;adj B1;1234;ideal;ideˈʔaːl;adj;ideal;идеальный;Thomas wartet auf den idealen Moment, um seine Aktien zu verkaufen.;Thomas is waiting for the ideal moment to sell his shares.;Томас ждет идеального момента, чтобы продать свои акции.;;;;;;;;;;;;;71.313311262841 | 0.773466414682041;;B1;;;;;;;
1679807417930;1784823473;B1 der;1235;der Augenblick, -e;ˈaʊ̯ɡŋ̍ˌblɪk;der;moment;момент;Das ist der beste Augenblick meines Lebens.;This is the best moment of my life.;Это лучший момент моей жизни.;;;;;;;;;;;;;71.2640277028805 | 0.875394218090021;;B1;;;;;;;
1679807417931;1784823484;B1 verb;1236;reduzieren, reduziert, reduzierte, hat reduziert;ʁeduˈt͡siːʁən;verb;to reduce, decrease;сокращать;Er versucht, seinen Stress zu reduzieren.;He’s trying to reduce his stress.;Он пытается сократить свой стресс.;;;;;;;;;;;;;71.2640277028805 | 0.920490077464013;;B1;;ichreduzieredureduzierster/sie/esreduziertwirreduzierenihrreduziertsie/SiereduzierenPrät. ich reduzierte | Perf. ich habe reduziert;;;;;
1679807417932;1784823485;A1 die;1237;die Maschine, -n;maˈʃiːnə;die;machine;машина;Die Maschine arbeitet schneller als ein durchschnittlicher Arbeiter.;The machine works faster than an average worker.;Машина работает быстрее, чем средний рабочий.;;;;;;;;;;;;;71.21474414292 | 0.90597167201739;;A1;;;;;;;
1679807417933;1784823487;adj B1;1238;linear;lineˈaːɐ̯;adj;linear;линейный;Wir lösen lineare Gleichungen.;We solve linear equations.;Мы решаем линейные уравнения.;;;;;;;;;;;;;71.1654605829595 | 0.714023575303701;;B1;;;;;;;
1679807417934;1784823488;A1 verb;1239;ausmachen, macht aus, machte aus, hat ausgemacht;ˈaʊ̯sˌmaxn̩;verb;to put out, agree;договариваться;Wir müssen ein Datum ausmachen.;We have to agree on a date.;Нам нужно договориться о дате.;;;;;;;;;;;;;71.116177022999 | 0.931474044678456;;A1;;ichmache ausdumachst auser/sie/esmacht auswirmachen ausihrmacht aussie/Siemachen ausPrät. ich machte aus | Perf. ich habe ausgemacht;;;;;
1679807417935;1784823490;B1 verb;1240;eintreten, tritt ein, trat ein, hat eingetreten;ˈaɪ̯nˌtʁeːtn̩;verb;to enter, join, occur;входить;Der Besucher tritt ein und macht das Licht an.;The visitor enters and turns on the light.;Посетитель входит и включает свет.;;;;;;;;;;;;;71.0668934630385 | 0.906208749833183;;B1;;ichtrete eindutritest einer/sie/estritt einwirtreten einihrtritt einsie/Sietreten einPrät. ich trat ein | Perf. ich habe eingetreten;;;;;
1679807417936;1784823492;adj B1;1241;kritisch;ˈkʁiːtɪʃ;adj;critical;критический;Im Interview mit dem Präsidenten spricht er besonders kritische Themen an.;In an interview with the president, he addresses particularly critical issues.;В интервью с президентом он затрагивает особенно критические темы.;;;;;;;;;;;;;70.919042783157 | 0.91617008220699;;B1;;;;;;;
1679807417937;1784823493;B1 part;1242;äh;ɛː;part;um;ээ;Äh, ich bin mir nicht sicher.;Um, I’m not sure.;Э-э, я не уверен.;;;;;;;;;;;;;70.8697592231965 | 0.739672203267241;;B1;;;;;;;
1679807417938;1784823494;B1 das;1243;das Wochenende, -n;ˈvɔxn̩ˌʔɛndə;das;weekend;выходные;Tina ist Ärztin und muss auch am Wochenende arbeiten.;Tina is a doctor and also has to work on weekends.;Тина — врач, и ей приходится работать даже в выходные.;;;;;;;;;;;;;70.8697592231965 | 0.893177555014072;;B1;;;;;;;
1679807417939;1784823495;B1 der;1244;der Donnerstag, -e;ˈdɔnɐsˌtaːk;der;Thursday;четверг;Dieses Jahr hat meine Mutter an einem Donnerstag Geburtstag.;This year my mother’s birthday is on a Thursday.;В этом году у моей мамы день рождения в четверг.;;;;;;;;;;;;;70.820475663236 | 0.835656808777069;;B1;;;;;;;
1679807417940;1784823496;B1 die;1245;die Saison, -s;zɛˈzɔ̃ː;die;season;сезон;Der Trainer motiviert seine Mannschaft für die neue Saison.;The coach motivates his team for the new season.;Тренер мотивирует свою команду на новый сезон.;;;;;;;;;;;;;70.820475663236 | 0.701904422424511;;B1;;;;;;;
1679807417941;1784823497;B1 der;1246;der Forscher, -;ˈfɔʁʃɐ;der;researcher;исследователь;Die Forscherin beobachtet das Verhalten von Kindern.;The researcher observes the behavior of children.;Исследовательница наблюдает за поведением детей.;;;;;;;;;;;;;70.7711921032755 | 0.686796382361338;;B1;;;;;;;
1679807417942;1784823499;B1 verb;1247;gründen, gründet, gründete, hat gegründet;ˈɡʁʏndn̩;verb;to establish, found;основывать;Die Studentinnen gründen eine soziale Initiative.;The students found a social initiative.;Студентки основывают социальную инициативу.;;;;;;;;;;;;;70.7711921032755 | 0.913269399587234;;B1;;ichgründedugründester/sie/esgründetwirgründenihrgründetsie/SiegründenPrät. ich gründete | Perf. ich habe gegründet;;;;;
1679807417943;1784823500;adj B1;1248;offensichtlich;ˈɔfn̩ˌzɪçtlɪç;adj;obvious;очевидный;Es ist offensichtlich, dass Philipp lügt.;It’s obvious Philipp is lying.;Очевидно, что Филипп лжет.;;;;;;;;;;;;;70.7711921032755 | 0.916075489148817;;B1;;;;;;;
1679807417944;1784823501;B1 das;1249;das Teilchen, -;ˈtaɪ̯lçən;das;particle;частица;Die kleinen Teilchen kann man nicht mit den Augen erkennen.;The small particles cannot be seen with the naked eye.;Маленькие частицы нельзя увидеть глазами.;;;;;;;;;;;;;70.623341423394 | 0.598398486207019;;B1;;;;;;;
1679807417945;1784823502;B1 verb;1250;genügen, genügt, genügte, hat genügt;ɡəˈnyːɡn̩;verb;to be sufficient;хватать;Ihr Einkommen genügt, um die Rechnungen zu bezahlen.;Her income is sufficient to pay the bills.;Их дохода хватает, чтобы оплатить счета.;;;;;;;;;;;;;70.524774303473 | 0.943974198728766;;B1;;ichgenügedugenügster/sie/esgenügtwirgenügenihrgenügtsie/SiegenügenPrät. ich genügte | Perf. ich habe genügt;;;;;
1679807417946;1784823503;B1 verb;1251;schieben, schiebt, schob, hat geschoben;ˈʃiːbn̩;verb;to push;толкать;Sie müssen das Auto schieben, weil es nicht mehr fährt.;You have to push the car because it no longer runs.;Вам нужно толкать машину, потому что она больше не едет.;;;;;;;;;;;;;70.524774303473 | 0.879256234183256;;B1;;ichschiebeduschiebster/sie/esschiebtwirschiebenihrschiebtsie/SieschiebenPrät. ich schob | Perf. ich habe geschoben;;;;;
1679807417947;1784823504;A1 der;1252;der Computer, -;kɔmˈpjuːtɐ;der;computer;компьютер;Ich speichere das Bild auf meinem Computer.;I’m saving the image to my computer.;Я сохраняю изображение на своем компьютере.;;;;;;;;;;;;;70.4754907435125 | 0.892691791712827;;A1;;;;;;;
1679807417948;1784823505;B1 der;1253;der Effekt, -e;ɛˈfɛkt;der;effect;эффект;Diese Übungen haben einen positiven Effekt auf deine Gesundheit.;These exercises have a positive effect on your health.;Эти упражнения оказывают положительный эффект на твое здоровье.;;;;;;;;;;;;;70.4754907435125 | 0.809653345294789;;B1;;;;;;;
1679807417949;1784823507;B1 verb;1254;abnehmen, nimmt ab, nahm ab, hat abgenommen;ˈapˌneːmən;verb;to lose weight, decrease, reduce;худеть;Durch Sport nehme ich ab.;I lose weight through exercise.;Благодаря спорту я худею.;;;;;;;;;;;;;70.426207183552 | 0.930786878774071;;B1;;ichnehme abdunimmst aber/sie/esnimmt abwirnehmen abihrnimmt absie/Sienehmen abPrät. ich nahm ab | Perf. ich habe abgenommen;;;;;
1679807417950;1784823508;B1 die;1255;die Verteilung, -en;fɛɐ̯ˈtaɪ̯lʊŋ;die;distribution;распределение;Die Karte zeigt die Verteilung der Schulen in Deutschland.;The map shows the distribution of schools in Germany.;Карта показывает распределение школ в Германии.;;;;;;;;;;;;;70.426207183552 | 0.701220492999412;;B1;;;;;;;
1679807417951;1784823514;B1 verb;1256;blicken, blickt, blickte, hat geblickt;ˈblɪkn̩;verb;to look;глядеть;Er blickt ihr neugierig über die Schulter.;He looks curiously over her shoulder.;Он с любопытством заглядывает ей через плечо.;;;;;;;;;;;;;70.3769236235915 | 0.865376834158968;;B1;;ichblickedublickster/sie/esblicktwirblickenihrblicktsie/SieblickenPrät. ich blickte | Perf. ich habe geblickt;;;;;
1679807417952;1784823515;B1 verb;1257;beitragen, trägt bei, trug bei, hat beigetragen;ˈbaɪ̯ˌtʁaːɡn̩;verb;to contribute;способствовать;Lisbeth trägt viel dazu bei, dass alle Projekte vernünftig organisiert sind.;Lisbeth contributes a lot to ensure that all projects are well organized.;Лисбет вносит большой вклад в то, чтобы все проекты были разумно организованы.;;;;;;;;;;;;;70.2783565036705 | 0.879082196105408;;B1;;ichtrage beiduträgst beier/sie/esträgt beiwirtragen beiihrträgt beisie/Sietragen beiPrät. ich trug bei | Perf. ich habe beigetragen;;;;;
1679807417953;1784823516;B1 die;1258;die Anwendung, -en;ˈanvɛndʊŋ;die;application, use;применение;Die Anwendung des Produkts ist sehr einfach.;The application of the product is very simple.;Применение продукта очень простое.;;;;;;;;;;;;;70.0812222638285 | 0.817533303144346;;B1;;;;;;;
1679807417954;1784823517;A2 verb;1259;zeichnen, zeichnet, zeichnete, hat gezeichnet;ˈt͡saɪ̯çnən;verb;to draw;рисовать;Linda zeichnet einen groben Entwurf ihres neuen Comics.;Linda draws a rough draft of her new comic.;Линда рисует грубый набросок своего нового комикса.;;;;;;;;;;;;;70.0812222638285 | 0.886055357819551;;A2;;ichzeichneduzeichnester/sie/eszeichnetwirzeichnenihrzeichnetsie/SiezeichnenPrät. ich zeichnete | Perf. ich habe gezeichnet;;;;;
1679807417955;1784823518;A2 adj;1260;frisch;fʁɪʃ;adj;fresh;свежий;Wir benutzten nur frische Lebensmittel.;We only use fresh food.;Мы использовали только свежие продукты.;;;;;;;;;;;;;70.031938703868 | 0.916240085477067;;A2;;;;;;;
1679807417956;1784823519;A2 adv;1261;meistens;ˈmaɪ̯stn̩s;adv;mostly;обычно;In einem Dorf gibt es meistens nur wenige Läden.;In a village, there are mostly only a few shops.;В деревне обычно есть только несколько магазинов.;;;;;;;;;;;;;70.031938703868 | 0.89158270398101;;A2;;;;;;;
1679807417957;1784823521;B1 verb;1262;erwähnen, erwähnt, erwähnte, hat erwähnt;ɛɐ̯ˈvɛːnən;verb;to mention;упоминать;Lukas hat sie kein einziges Mal erwähnt.;Lukas didn’t mention her once.;Лукас не упомянул ее ни разу.;;;;;;;;;;;;;69.9826551439075 | 0.902124155470144;;B1;;icherwähneduerwähnster/sie/eserwähntwirerwähnenihrerwähntsie/SieerwähnenPrät. ich erwähnte | Perf. ich habe erwähnt;;;;;
1679807417958;1784823522;B1 die;1263;die Welle, -n;ˈvɛlə;die;wave;волна;Aufgrund der hohen Wellen ist das Schwimmen verboten.;Swimming is forbidden due to the high waves.;Из-за высоких волн купание запрещено.;;;;;;;;;;;;;69.9826551439075 | 0.792252643687811;;B1;;;;;;;
1679807417959;1784823523;B1 die;1264;die Nase, -n;ˈnaːzə;die;nose;нос;In meiner Familie haben alle eine lange Nase.;Everybody in my family has a long nose.;В моей семье у всех длинный нос.;;;;;;;;;;;;;69.933371583947 | 0.866750226920809;;B1;;;;;;;
1679807417960;1784823525;B1 verb;1265;vertreten, vertritt, vertrat, hat vertreten;fɛɐ̯ˈtʁeːtn̩;verb;to represent, advocate, substitute;замещать;Frau Arnolds vertritt heute unseren Lehrer, weil er krank ist.;Mrs. Arnolds is substituting for our teacher today because he’s sick.;Госпожа Арнольдс сегодня замещает нашего учителя, потому что он болен.;;;;;;;;;;;;;69.933371583947 | 0.912058206039208;;B1;;ichvertreteduvertritester/sie/esvertrittwirvertretenihrvertrittsie/SievertretenPrät. ich vertrat | Perf. ich habe vertreten;;;;;
1679807417961;1784823526;adj B1;1266;dicht;dɪçt;adj;thick, dense;густой;Wir laufen durch einen dichten Wald.;We’re walking through dense forest.;Мы идем через густой лес.;;;;;;;;;;;;;69.834804464026 | 0.907310189673149;;B1;;;;;;;
1679807417962;1784823531;B1 der;1267;der Soldat, -en;zɔlˈdaːt;der;soldier;солдат;Soldaten tragen eine Uniform.;Soldiers wear uniforms.;Солдаты носят форму.;;;;;;;;;;;;;69.7855209040655 | 0.891156252172038;;B1;;;;;;;
1679807417963;1784823532;adj B1;1268;bereit;bəˈʁaɪ̯t;adj;ready;готовый;Bist du bereit für die Prüfung?;Are you ready for the exam?;Ты готов к экзамену?;;;;;;;;;;;;;69.736237344105 | 0.93109008258492;;B1;;;;;;;
1679807417964;1784823532;B1 die;1269;die Technik, -en;ˈtɛçnɪk;die;technology, technique;техника;Die neue Technik ist teuer, aber spart viel Zeit.;The new technology is expensive, but saves a lot of time.;Новая техника дорогая, но экономит много времени.;;;;;;;;;;;;;69.736237344105 | 0.904435402765257;;B1;;;;;;;
1679807417965;1784823533;A2 das;1270;das Blatt, -̈er;blat;das;sheet, leaf;лист;Die Pflanze hat lange grüne Blätter.;The plant has long green leaves.;У этого растения длинные зеленые листья.;;;лист;;;;;;лист;;;;69.539103104263 | 0.906390356027721;;A2;;;;;;;
1679807417966;1784823537;B1 verb;1271;prägen, prägt, prägte, hat geprägt;ˈpʁɛːɡn̩;verb;to shape, mint;формировать;Der Charakter eines Erwachsenen wird durch seine Erfahrungen in der Kindheit geprägt.;A adult’s character is shaped by his or her childhood experiences.;Характер взрослого человека формируется его опытом в детстве.;;;;;;;;;;;;;69.539103104263 | 0.894088184998899;;B1;;ichprägeduprägster/sie/esprägtwirprägenihrprägtsie/SieprägenPrät. ich prägte | Perf. ich habe geprägt;;;;;
1679807417967;1784823538;adv B1;1272;sozusagen;ˌzoːt͡suˈzaːɡŋ̩;adv;so to speak;так сказать;Die Veranstaltung ist sozusagen nicht ganz offiziell, deswegen wissen nur wenige davon.;The event is not official, so to speak, which is why only a few people know about it.;Мероприятие, так сказать, не совсем официальное, поэтому немногие о нем знают.;;;;;;;;;;;;;69.539103104263 | 0.823698185986497;;B1;;;;;;;
1679807417968;1784823540;B1 der;1273;der November, -;noˈvɛmbɐ;der;November;ноябрь;Der November hat 30 Tage.;November has 30 days.;В ноябре 30 дней.;;;;;;;;;;;;;69.341968864421 | 0.897665086393123;;B1;;;;;;;
1679807417969;1784823541;adj B1;1274;Schweizer;ˈʃvaɪ̯t͡sɐ;adj;Swiss;швейцарский;Das ist die beste Schweizer Uhr.;This is the best Swiss watch.;Это лучшие швейцарские часы.;;;;;;;;;;;;;69.341968864421 | 0.752100687646332;;B1;;;;;;;
