Word	Annotation	Sense	Part of Speech	Level	Russian	English
Bestellung	die Bestellung, -en		die	B2+	заказать	order, reservation
bestens	bestens		adv	B2+	хорошо	optimally, very well
bestimmen, bestimmt, bestimmte, hat bestimmt	bestimmen, bestimmt, bestimmte, hat bestimmt		verb	A2	определить	to decide, determine
bestimmt	bestimmt		adj	B1	решительный	special, certain
Bestimmung	die Bestimmung, -en		die	B1	решительность	regulation, purpose, fate
bestrafen, bestraft, bestrafte, hat bestraft	bestrafen, bestraft, bestrafte, hat bestraft		verb	B1	наказать	to punish
bestreiten, bestreitet, bestritt, hat bestritten	bestreiten, bestreitet, bestritt, hat bestritten		verb	B2+	отрицать	to dispute
Besuch	der Besuch, -e		der	A2	посетите	visit
besuchen, besucht, besuchte, hat besucht	besuchen, besucht, besuchte, hat besucht		verb	A1	посетить	to visit
Besucher	der Besucher, -		der	B1	посетители	visitor
beteiligen, beteiligt, beteiligte, hat beteiligt	beteiligen, beteiligt, beteiligte, hat beteiligt		verb	B1	участвовать	to participate, contribute
Beteiligung	die Beteiligung, -en		die	B2+	участие	participation
beten, betet, betete, hat gebetet	beten, betet, betete, hat gebetet		verb	B2+	молиться	to pray
betonen, betont, betonte, hat betont	betonen, betont, betonte, hat betont		verb	A2	подчеркнуть	to stress
betrachten, betrachtet, betrachtete, hat betrachtet	betrachten, betrachtet, betrachtete, hat betrachtet		verb	A2	посмотрел	to look at, consider
Betrachter	der Betrachter, -		der	B2+	зритель	observer, viewer
beträchtlich	beträchtlich		adj	B2+	значительный	considerable
Betrachtung	die Betrachtung, -en		die	B2+	созерцание	contemplation, examination
Betrag	der Betrag, -̈e		der	B1	сумма	amount
betragen, beträgt, betrug, hat betragen	betragen, beträgt, betrug, hat betragen		verb	A2	составляет	to amount
betreffen, betrifft, betraf, hat betroffen	betreffen, betrifft, betraf, hat betroffen		verb	A2	беспокойство	to affect, concern
betreiben, betreibt, betrieb, hat betrieben	betreiben, betreibt, betrieb, hat betrieben		verb	B1	действовать	to proceed with, operate, run
betreten	betreten		verb	B1	войти	to enter, walk into/onto
betreuen, betreut, betreute, hat betreut	betreuen, betreut, betreute, hat betreut		verb	B1	присматривать	to look after, take care
Betreuung	die Betreuung, -en		die	B1	уход	care
Betrieb	der Betrieb, -e		der	B1	операция	business, operation
betrieblich	betrieblich		adj	B2+	оперативный	operational
Betriebswirtschaftslehre	die Betriebswirtschaftslehre		die	B1	бизнес-администрирование	business administration
betrinken, betrinkt, betrank, hat betrunken	betrinken (sich), betrinkt, betrank, hat betrunken		verb	B2+	напиться	to get drunk
Bett	das Bett, -en		das	A1	кровать	bed
beugen, beugt, beugte, hat gebeugt	beugen, beugt, beugte, hat gebeugt		verb	B2+	поклон	to bend
beurteilen, beurteilt, beurteilte, hat beurteilt	beurteilen, beurteilt, beurteilte, hat beurteilt		verb	B1	судья	to assess, judge
Beurteilung	die Beurteilung, -en		die	B2+	оценка	judgment
Bevölkerung	die Bevölkerung, -en		die	B1	население	population, people
bevor	bevor		conj	B1	раньше	before
bevorstehen, steht bevor, stand bevor, hat bevorgestanden	bevorstehen, steht bevor, stand bevor, hat bevorgestanden		verb	B2+	неизбежный	to lie ahead, be imminent
bevorzugen, bevorzugt, bevorzugte, hat bevorzugt	bevorzugen, bevorzugt, bevorzugte, hat bevorzugt		verb	B1	предпочитаю	to prefer
bewaffnen, bewaffnet, bewaffnete, hat bewaffnet	bewaffnen, bewaffnet, bewaffnete, hat bewaffnet		verb	B2+	вооружить	to arm
bewahren, bewahrt, bewahrte, hat bewahrt	bewahren, bewahrt, bewahrte, hat bewahrt		verb	B1	сохранить	to keep, protect
bewähren, bewährt, bewährte, hat bewährt	bewähren (sich), bewährt, bewährte, hat bewährt		verb	B2+	доказать	to prove (oneself)
bewältigen, bewältigt, bewältigte, hat bewältigt	bewältigen, bewältigt, bewältigte, hat bewältigt		verb	B2+	справиться	to cope with, overcome
bewegen, bewegt, bewegte, hat bewegt	bewegen, bewegt, bewegte, hat bewegt		verb	B1	двигаться	to move
beweglich	beweglich		adj	B2+	подвижный	mobile, flexible
Bewegung	die Bewegung, -en		die	B1	движение	movement, motion
Beweis	der Beweis, -e		der	B1	доказательство	proof, evidence
beweisen, beweist, bewies, hat bewiesen	beweisen, beweist, bewies, hat bewiesen		verb	B1	доказать	to prove
bewerben, bewirbt, bewarb, hat beworben	bewerben (sich), bewirbt, bewarb, hat beworben		verb	A2	применил	to apply
Bewerber	der Bewerber, -		der	B2+	заявитель	applicant
bewerten, bewertet, bewertete, hat bewertet	bewerten, bewertet, bewertete, hat bewertet		verb	B1	оценить	to assess, judge
Bewertung	die Bewertung, -en		die	B1	рейтинг	assessment, evaluating, evaluation
bewirken, bewirkt, bewirkte, hat bewirkt	bewirken, bewirkt, bewirkte, hat bewirkt		verb	B1	эффект	to cause
Bewohner	der Bewohner, -		der	B1	жители	inhabitant, resident, occupant
bewundern, bewundert, bewunderte, hat bewundert	bewundern, bewundert, bewunderte, hat bewundert		verb	B2+	восхищаться	to admire
bewusst	bewusst		adj	A2	сознательно	conscious
Bewusstsein	das Bewusstsein, -e		das	B1	сознание	consciousness
bezahlen, bezahlt, bezahlte, hat bezahlt	bezahlen, bezahlt, bezahlte, hat bezahlt		verb	A1	плати	to pay
bezeichnen, bezeichnet, bezeichnete, hat bezeichnet	bezeichnen, bezeichnet, bezeichnete, hat bezeichnet		verb	A2	обозначать	to call, name
Bezeichnung	die Bezeichnung, -en		die	B1	обозначение	name, term
beziehen, bezieht, bezog, hat bezogen	beziehen, bezieht, bezog, hat bezogen		verb	A2	ссылаться	to refer, put, get
Beziehung	die Beziehung, -en		die	B1	отношения	relation, relationship
beziehungsweise, bzw.	beziehungsweise, bzw.		conj	A1	соответственно	or, respectively
Bezirk	der Bezirk, -e		der	B2+	район	district
Bezug	der Bezug, -̈e		der	B1	ссылка	reference, cover
bezüglich	bezüglich		prep	B1	относительно	regarding
BGB	BGB (Bürgerliches Gesetzbuch)		das	A2	БГБ	civil code
Bibel	die Bibel, -n		die	B2+	Библия	Bible
Bibliothek	die Bibliothek, -en		die	A2	библиотека	library
biegen, biegt, bog, hat gebogen	biegen, biegt, bog, hat gebogen		verb	B2+	изгиб	to bend, turn
Bier	das Bier, -e		das	A1	пиво	beer
bieten, bietet, bot, hat geboten	bieten, bietet, bot, hat geboten		verb	B1	предложение	to offer
Bilanz	die Bilanz, -en		die	B1	баланс	balance (sheet), result
Bild	das Bild, -er		das	A1	изображение	picture
bilden, bildet, bildete, hat gebildet	bilden, bildet, bildete, hat gebildet		verb	A1	форма	to form, educate
Bildschirm	der Bildschirm, -e		der	B1	экран	screen, monitor
Bildung	die Bildung, -en		die	A2	образование	education
billig	billig		adj	A1	дешево	cheap
binden, bindet, band, hat gebunden	binden, bindet, band, hat gebunden		verb	A2	связывать	to tie, bind
Bindung	die Bindung, -en		die	A2	связывание	relationship, attachment
binnen	binnen		adv	B2+	внутри	within
Biografie	die Biografie, -n		die	B2+	биография	biography
Biologie	die Biologie		die	B1	биология	biology
biologisch	biologisch		adj	B1	биологический	biological
bis	bis		prep, conj	A1	пока	until, till; until
bisher	bisher		adv	B1	до сих пор	until now, up to now, yet
bisherig	bisherig		adj	B1	до сих пор	so far
bislang	bislang		adv	A2	до сих пор	up to now
bisschen, bissel	bisschen, bissel		pron	A1	немного	a little
Bitte	die Bitte, -n		die	A1	пожалуйста	request
bitte	bitte		adv	A1	пожалуйста	please
bitten, bittet, bat, hat gebeten	bitten, bittet, bat, hat gebeten		verb	A1	спросить	to request, ask
bitter	bitter		adj	A1	горький	bitter
Blase	die Blase, -n		die	B2+	пузырь	blister, bladder, bubble
blasen, bläst, blies, hat geblasen	blasen, bläst, blies, hat geblasen		verb	B2+	удар	to blow
blass	blass		adj	B1	бледный	pale
Blatt	das Blatt, -̈er		das	A2	лист	sheet, leaf
blättern, blättert, blätterte, hat geblättert	blättern, blättert, blätterte, hat geblättert		verb	B2+	лист	to turn, flip, browse
blau	blau		adj	A2	синий	blue
bleiben, bleibt, blieb, ist geblieben	bleiben, bleibt, blieb, ist geblieben		verb	A1	остаться	to stay, remain
Blick	der Blick, -e		der	A1	Смотри	look, view, glance
blicken, blickt, blickte, hat geblickt	blicken, blickt, blickte, hat geblickt		verb	B1	смотри	to look
blind	blind		adj	B1	слепой	blind
Block	der Block, -̈e		der	B2+	блокировать	block
blockieren, blockiert, blockierte, hat blockiert	blockieren, blockiert, blockierte, hat blockiert		verb	B2+	заблокировать	to block
blöd	blöd		adj	A2	глупый	stupid, dumb
blond	blond		adj	A2	блондинка	blond
bloß	bloß		adj, adv	B1	просто	bare, mere; only, simply, just
blühen, blüht, blühte, hat geblüht	blühen, blüht, blühte, hat geblüht		verb	B1	расцвела	to bloom
Blume	die Blume, -n		die	A1	цветок	flower
Blut	das Blut, -e		das	B1	кровь	blood
Blutdruck	der Blutdruck, -̈e		der	B2+	артериальное давление	blood pressure
Blüte	die Blüte, -n		die	B2+	цвести	blossom
blutig	blutig		adj	B2+	кровавый	bloody
Boden	der Boden, -̈		der	B1	пол	ground, floor, bottom
Bogen	der Bogen, -		der	A1	лук	bow, arc, sheet
Bombe	die Bombe, -n		die	B2+	бомба	bomb
Boot	das Boot, -e		das	B1	лодка	boat
Bord	das Bord, -e		der	B1	доска	board
Börse	die Börse, -n		die	B2+	фондовый рынок	stock market
böse	böse		adj	A1	зло	bad, mad
Botschaft	die Botschaft, -en		die	B1	посольство	message
Botschafter	der Botschafter, -		der	B2+	посол	ambassador
Box	die Box, -en		die	B2+	коробка	speaker, pit, stall
Branche	die Branche, -n		die	B1	промышленность	sector, line of business
Brand	der Brand, -̈e		der	B2+	бренд	fire
Brandenburg	Brandenburg		das	B2+	Бранденбург	Brandenburg
Brasilien	Brasilien		das	B2+	Бразилия	Brazil
brauchen, braucht, brauchte, hat gebraucht	brauchen, braucht, brauchte, hat gebraucht		verb	A1	нужно	to need
braun	braun		adj	B1	коричневый	brown
brav	brav		adj	B2+	хорошо	well-behaved, good
BRD	BRD (Bundesrepublik Deutschland)		die	B1	Германия	Federal Republic (of Germany)
brechen, bricht, brach, hat gebrochen	brechen, bricht, brach, hat gebrochen		verb	B1	сломался	to break
breit	breit		adj	A1	широкий	wide, broad
Breite	die Breite, -n		die	B1	ширина	width
bremsen, bremst, bremste, hat gebremst	bremsen, bremst, bremste, hat gebremst		verb	B1	тормоз	to brake, slow down
brennen, brennt, brannte, hat gebrannt	brennen, brennt, brannte, hat gebrannt		verb	B1	сжечь	to burn
Brett	das Brett, -er		das	B2+	Совет	board, plank
Brexit	der Brexit		der	B2+	брексит	Brexit
Brief	der Brief, -e		der	A1	письмо	letter
Brille	die Brille, -n		die	A2	очки	glasses
bringen, bringt, brachte, hat gebracht	bringen, bringt, brachte, hat gebracht		verb	A1	принести	to bring, take
Brite	der Brite, -n		der	B2+	британец	Brit
britisch	britisch		adj	B1	британский	British
Brot	das Brot, -e		das	A1	хлеб	bread
Bruch	der Bruch, -̈e		der	B2+	перелом	fracture, break
Brücke	die Brücke, -n		die	A2	мост	bridge
Bruder	der Bruder, -̈		der	A1	брат	brother
brüllen, brüllt, brüllte, hat gebrüllt	brüllen, brüllt, brüllte, hat gebrüllt		verb	B2+	рев	to bellow, roar, shout
Brust	die Brust, -̈e		die	B1	грудь	breast, chest
brutal	brutal		adj	B2+	жестокий	brutal
Bruttoinlandsprodukt	das Bruttoinlandsprodukt, -e		das	B1	валовой внутренний продукт	gross domestic product, GDP
Bube	der Bube, -n		der	B2+	Джек	boy
Buch	das Buch, -̈er		das	A1	книга	book
buchen	buchen		verb	A2	книга	to book
Buchstabe	der Buchstabe, -n		der	A1	письмо	letter
Budget	das Budget, -s		das	B2+	бюджет	budget
Bühne	die Bühne, -n		die	B1	сцена	stage
Bund	der Bund, -̈e		der	B1	федеральный	association, alliance, bunch
Bündel	das Bündel, -		das	B2+	связка	bundle, bunch
Bundesamt	das Bundesamt, -̈er		das	B2+	федеральное ведомство	federal office
Bundeskanzler	der Bundeskanzler, -		der	B1	канцлер	federal chancellor
Bundesland	das Bundesland, -̈er		das	B1	государство	state, province
Bundesliga	die Bundesliga, -en		die	B2+	бундеслига	(sport) national division
Bundespräsident	der Bundespräsident, -en		der	B2+	федеральный президент	Federal President
Bundesrat	der Bundesrat, -̈e		der	B2+	федеральный совет	Bundesrat
Bundesregierung	die Bundesregierung, -en		die	B1	федеральное правительство	federal government
Bundesstaat	der Bundesstaat, -en		der	B2+	государство	confederation, federal state
Bundestag	der Bundestag, -e		der	B1	Бундестаг	Bundestag
Bundeswehr	die Bundeswehr		die	B2+	бундесвер	Armed Forces
bundesweit	bundesweit		adj	B2+	общенациональный	nationwide
Bündnis	das Bündnis, -se		das	B2+	альянс	alliance
bunt	bunt		adj	A2	красочный	colorful
Burg	die Burg, -en		die	B1	замок	castle
Bürger	der Bürger, -		der	B1	гражданин	citizen
Bürgerkrieg	der Bürgerkrieg, -e		der	B2+	гражданская война	civil war
bürgerlich	bürgerlich		adj	B2+	гражданский	civil, civic
Bürgermeister	der Bürgermeister, -		der	B1	мэр	mayor
Büro	das Büro, -s		das	A2	офис	office
Bus	der Bus, -se		der	A1	автобус	bus
Business	das Business		das	B2+	бизнес	business
Butter	die Butter		die	A1	сливочное масло	butter
Café	das Café, -s		das	A1	кафе	coffeehouse, coffee shop
Camp	das Camp, -s		das	B2+	лагерь	camp
CD	die CD, -s		die	A1	компакт-диск	CD
CDU	CDU (Christlich Demokratische Union Deutschlands)		die	A2	ХДС	CDU
Cent	der Cent, -		der	B2+	центы	cent
Center	das Center, -		das	B2+	центр	center
Champion	der Champion, -s		der	B2+	чемпион	champion
Chance	die Chance, -n		die	B1	шанс	chance
Chaos	das Chaos		das	B2+	хаос	chaos
Charakter	der Charakter, -e		der	B1	персонаж	character
charakterisieren, charakterisiert, charakterisierte, hat charakterisiert	charakterisieren, charakterisiert, charakterisierte, hat charakterisiert		verb	B2+	охарактеризовать	to characterize
charakteristisch	charakteristisch		adj	B2+	характеристика	characteristic
Chef	der Chef, -s		der	A1	босс	head, leader, boss
Chemie	die Chemie, -n		die	A2	химия	chemistry
Chemiker	der Chemiker, -		der	B2+	химик	chemist
chemisch	chemisch		adj	A2	химический	chemical
China	China		das	A2	Китай	China
Chinese	der Chinese, -n		der	B2+	китайский	Chinese
chinesisch	chinesisch		adj, das	B1	китайский	Chinese; Chinese
Christ	der Christ, -en		der	B2+	христианин	Christian
christlich	christlich		adj	B2+	христианин	Christian
Chromosom	das Chromosom, -en		das	B1	хромосома	chromosome
chronisch	chronisch		adj	B2+	хронический	chronic
City	die City, -s		die	B1	город	city center
Club	der Club, -s		der	A2	клуб	club
Code	der Code, -s		der	B2+	код	code
Computer	der Computer, -		der	A1	компьютеры	computer
Container	der Container, -		der	B2+	контейнеры	container
cool	cool		adj	B2+	круто	cool
Cousin	der Cousin, -s		der	B1	двоюродный брат	cousin
CSU	CSU (Christlich-Soziale Union)		die	B1	ХГУ	CSU
da	da		adv, conj	A1	там	there; because
dabei	dabei		pron	A2	там	with it, there
Dach	das Dach, -̈er		das	B1	крыша	roof
dadurch	dadurch		pron	A2	тем самым	through it, as a result, as a consequence
dafür	dafür		pron	A2	для этого	for it, for that
dagegen	dagegen		pron	A2	против этого	against it, on the other hand
daheim	daheim		adv	B2+	дома	at home
daher	daher		pron	B1	поэтому	from, there, therefore
dahin	dahin		adv	B1	там	there
dahinter	dahinter		pron	B1	за этим	behind it
damalig	damalig		adj	B1	тогда	at that time
damals	damals		pron	A2	тогда	then
Dame	die Dame, -n		die	A1	леди	lady
damit	damit		pron	B1	с этим	so that
damit	damit		pron	B1	с этим	so that
damit	damit		conj	B1	с этим	so that
damit	damit		conj	B1	с этим	so that
dämpfen, dämpft, dämpfte, hat gedämpft	dämpfen, dämpft, dämpfte, hat gedämpft		verb	B2+	промокнуть	to dampen, dim
danach	danach		pron	B1	после этого	after it, afterwards
daneben	daneben		pron	A1	рядом с ним	beside it, next to it
Dänemark	Dänemark		das	B2+	Дания	Denmark
dänisch	dänisch		adj, das	B2+	датский	Danish; Danish
Dank	der Dank		der	A1	спасибо	gratefulness
dankbar	dankbar		adj	B1	благодарен	grateful
danke	danke		adv	A1	спасибо	thanks
danken, dankt, dankte, hat gedankt	danken, dankt, dankte, hat gedankt		verb	A1	спасибо	to thank
dann	dann		adv	A1	тогда	then
daran, dran	daran, dran		pron	A1	на этом	on it
darauf, drauf	darauf, drauf		pron	A1	на этом	on it, to it
daraufhin	daraufhin		adv	B1	тогда	as a result
daraus	daraus		pron	A2	из этого	from it
darin, drin, drinnen	darin, drin, drinnen		pron	A1	в нем	in it, in there, inside
Darm	der Darm, -̈e		der	B2+	кишечник	intestine
darstellen, stellt dar, stellte dar, hat dargestellt	darstellen, stellt dar, stellte dar, hat dargestellt		verb	B1	представлять	to depict, portray, show
Darstellung	die Darstellung, -en		die	B1	презентация	presentation, description, depiction
darüber, drüber	darüber, drüber		pron	A1	над этим	above it, about it
darum	darum		pron	A2	вот почему	around it, therefore
darunter	darunter		pron	B1	под	under it, underneath
dass	dass		conj	A1	что	that
dastehen, steht da, stand da, hat dagestanden	dastehen, steht da, stand da, hat dagestanden		verb	B2+	стоять там	to stand there, be in a position
Daten	Daten		die (pl)	B1	данные	data
Datenbank	die Datenbank, -en		die	B2+	база данных	database
Datensatz	der Datensatz, -̈e		der	B2+	набор данных	data set
Datum	das Datum, -en		das	A1	дата	date
Dauer	die Dauer, -n		die	B1	продолжительность	duration, length
dauerhaft	dauerhaft		adj	B1	навсегда	lasting
dauern, dauert, dauerte, hat gedauert	dauern, dauert, dauerte, hat gedauert		verb	A1	взять	to last, take (time)
dauernd	dauernd		adj	B1	постоянно	constant, lasting
Daumen	der Daumen, -		der	B2+	большой палец	thumb
davon	davon		pron	A1	этого	from it, about it, thereof
davor	davor		pron	B1	до этого	before, in front of
dazu	dazu		pron	A1	к этому	in addition, furthermore, to that, for that
dazwischen	dazwischen		pron	B2+	между	in between, between (them), among (them)
DDR	DDR (Deutsche Demokratische Republik)		die	B1	ГДР	
Debatte	die Debatte, -n		die	B1	дебаты	debate
Decke	die Decke, -n		die	B1	одеяло	ceiling, blanket
decken, deckt, deckte, hat gedeckt	decken, deckt, deckte, hat gedeckt		verb	B2+	покрыть	to cover, set
definieren, definiert, definierte, hat definiert	definieren, definiert, definierte, hat definiert		verb	B1	определить	to define
Definition	die Definition, -en		die	B1	определение	definition
definitiv	definitiv		adj	B2+	определенно	definite, definitive
Defizit	das Defizit, -e		das	B2+	дефицит	deficit
dein	dein		pron	A1	твой	your
Delegierte	die Delegierte		der, die	B2+	делегаты	delegate
dementsprechend	dementsprechend		adj	B2+	соответственно	accordingly
demnach	demnach		adv	B1	соответственно	therefore
demnächst	demnächst		adv	B2+	скоро	shortly
Demokrat	der Demokrat, -en		der	B2+	демократ	democrat
Demokratie	die Demokratie, -n		die	B1	демократия	democracy
demokratisch	demokratisch		adj	B1	демократический	democratic
Demonstrant	der Demonstrant, -en		der	B2+	протестующий	demonstrator
Demonstration	die Demonstration, -en		die	B2+	демонстрация	demonstration
demonstrieren, demonstriert, demonstrierte, hat demonstriert	demonstrieren, demonstriert, demonstrierte, hat demonstriert		verb	B2+	продемонстрировать	to demonstrate
denen	denen		pron	A1	те	whom, that
denkbar	denkbar		adj	B2+	мыслимый	conceivable
denken, denkt, dachte, hat gedacht	denken, denkt, dachte, hat gedacht		verb	A2	думать	to think
Denkmal	das Denkmal, -e		das	B1	памятник	monument, memorial
denn	denn		conj, part	A1	потому что	because; anyway
dennoch	dennoch		adv	A2	тем не менее	nevertheless
Depression	die Depression, -en		die	B2+	депрессия	depression
der	der		art, pron, pron	A1	тот	the; that, those; who, that
derart	derart		adv	B2+	вот так	so
derartig	derartig		adj	B2+	такой	such, like that
deren	deren		pron	A1	чей	whose
derjenige, diejenige, dasjenige	derjenige, diejenige, dasjenige		pron	B1	тот	the one (who, that)
derselbe, dieselbe, dasselbe	derselbe, dieselbe, dasselbe		pron	B1	то же самое	the same (one, ones)
derweil	derweil		adv	B2+	тем временем	while, meanwhile
derzeit	derzeit		adv	A2	в настоящее время	at the moment
derzeitig	derzeitig		adj	B2+	в настоящее время	current
deshalb	deshalb		adv	A2	поэтому	therefore
Design	das Design, -s		das	B2+	дизайн	design
dessen	dessen		pron	A1	чей	whose
desto	desto		adv	B1	тем больше	the more
deswegen	deswegen		adv	B1	вот почему	therefore, that’s why
Detail	das Detail, -s		das	B1	деталь	detail
detailliert	detailliert		adj	B2+	подробный	detailed
deuten, deutet, deutete, hat gedeutet	deuten, deutet, deutete, hat gedeutet		verb	B1	интерпретировать	to point, indicate, interpret
deutlich	deutlich		adj	A2	ясно	clear
deutsch	deutsch		adj, das	A1	немецкий	German; German
Deutsche	das Deutsche		der, die	A2	немцы	German
Deutschland	Deutschland		das	A1	Германия	Germany
deutschsprachig	deutschsprachig		adj	B2+	говорящий по-немецки	German-speaking
Deutung	die Deutung, -en		die	B2+	интерпретация	interpretation
Dezember	der Dezember, -		der	B1	декабрь	December
DFB	DFB (Deutscher Fußball-Bund)		der	B2+	немецкий футбольный союз	DFB
Diabetes	der Diabetes		der	B2+	диабет	diabetes
Diagnose	die Diagnose, -n		die	B2+	диагностика	diagnosis
Diagramm	das Diagramm, -e		die	B2+	диаграмма	diagram
Dialekt	der Dialekt, -e		der	B1	диалект	dialect
Dialog	der Dialog, -e		der	B1	диалог	dialogue
dich	dich		pron	A1	ты	you, yourself
dicht	dicht		adj	B1	закрыть	thick, dense
Dichte	die Dichte, -n		die	B2+	плотность	density
Dichter	der Dichter, -		der	B1	поэт	writer, poet
Dichtung	die Dichtung, -en		die	B2+	печать	seal, literature, poetry
dick	dick		adj	A2	толстый	thick, fat
dienen, dient, diente, hat gedient	dienen, dient, diente, hat gedient		verb	B1	служить	to serve
Diener	der Diener, -		der	B2+	слуга	servant
Dienst	der Dienst, -e		der	B1	услуга	service, duty
Dienstag	der Dienstag, -e		der	B1	вторник	Tuesday
Dienstleistung	die Dienstleistung, -en		die	B1	сервис	service
dies	dies		pron	A1	это	this, that
diesmal	diesmal		adv	B1	на этот раз	this time
Differenz	die Differenz, -en		die	B2+	разница	difference
differenzieren, differenziert, differenzierte, hat differenziert	differenzieren, differenziert, differenzierte, hat differenziert		verb	B2+	дифференцировать	to differentiate
Differenzierung	die Differenzierung, -en		die	B2+	дифференциация	differentiation
digital	digital		adj	B1	цифровой	digital
Digitalisierung	die Digitalisierung, -en		die	B2+	цифровизация	digitalization
Diktatur	die Diktatur, -en		die	B2+	диктатура	dictatorship
Dimension	die Dimension, -en		die	B1	измерение	dimension
Ding	das Ding, -e		das	A2	вещь	thing
diplomatisch	diplomatisch		adj	B2+	дипломатический	diplomatic
dir	dir		pron	A1	ты	you
direkt	direkt		adj	A2	напрямую	direct, straight
Direktor	der Direktor, -en		der	B1	директор	director
diskret	diskret		adj	B2+	сдержанный	discreet, confidential
Diskriminierung	die Diskriminierung, -en		die	B2+	дискриминация	discrimination
Diskurs	der Diskurs, -e		der	B2+	дискурс	discourse
Diskussion	die Diskussion, -en		die	B1	обсуждение	discussion, debate
diskutieren, diskutiert, diskutierte, hat diskutiert	diskutieren, diskutiert, diskutierte, hat diskutiert		verb	A2	обсуждать	to discuss
Distanz	die Distanz, -en		die	B1	расстояние	distance
Disziplin	die Disziplin, -en		die	B2+	дисциплина	discipline
divers	divers		adj	B2+	различные	diverse, various
DNA	DNA (DNS, Desoxyribonukleinsäure)		die	B1	ДНК	DNA, deoxyribonucleic acid
doch	doch		adv, part	A1	да	however, but
Doktor	der Doktor, -en (Dr.)		der	A1	доктор	doctor
Dokument	das Dokument, -e		das	B1	документ	document
dokumentieren, dokumentiert, dokumentierte, hat dokumentiert	dokumentieren, dokumentiert, dokumentierte, hat dokumentiert		verb	B2+	документ	to document
Dollar	der Dollar, -		der	A2	доллары	dollar
Dom	der Dom, -e		der	B2+	кафедральный собор	cathedral
dominant	dominant		adj	B2+	доминирующий	dominant
dominieren, dominiert, dominierte, hat dominiert	dominieren, dominiert, dominierte, hat dominiert		verb	B2+	доминировать	to dominate
Donnerstag	der Donnerstag, -e		der	B1	четверг	Thursday
doppelt	doppelt		adj	B1	двойной	double
Dorf	das Dorf, -̈er		das	A1	деревня	village
dort	dort		adv	A1	там	there
dorthin	dorthin		adv	B1	там	there
Dose	die Dose, -n		die	B1	может	can, tin
Drama	das Drama, -en		das	B1	драма	drama
dramatisch	dramatisch		adj	B1	драматический	dramatic
drängen, drängt, drängte, hat gedrängt	drängen, drängt, drängte, hat gedrängt		verb	B1	толкать	to push, insist
drastisch	drastisch		adj	B2+	радикальный	drastic
draußen	draußen		adv	A1	снаружи	outside
Dreck	der Dreck		der	B1	грязь	dirt
drehen, dreht, drehte, hat gedreht	drehen, dreht, drehte, hat gedreht		verb	B1	поворот	to turn
drei	drei		num	A1	три	three
dreimal	dreimal		adv	B2+	три раза	three times
dreißig	dreißig		num	B1	тридцать	thirty
dreizehn	dreizehn		num	B2+	тринадцать	thirteen
dringen, dringt, drang, ist gedrungen	dringen, dringt, drang, ist gedrungen		verb	B2+	проникнуть	to press, insist
dringend	dringend		adj	A2	срочный	urgent
Drittel	das Drittel, -		das	B1	третий	third
Droge	die Droge, -n		die	B1	наркотик	drug
drohen, droht, drohte, hat gedroht	drohen, droht, drohte, hat gedroht		verb	A2	угрожать	to threaten
Drohung	die Drohung, -en		die	B2+	угроза	threat
drüben	drüben		adv	A2	там	over there
Druck	der Druck, -̈e		der	B1	давление	pressure, printing
drucken, druckt, druckte, hat gedruckt	drucken, druckt, druckte, hat gedruckt		verb	A1	распечатать	to print
drücken, drückt, drückte, hat gedrückt	drücken, drückt, drückte, hat gedrückt		verb	A1	нажать	to press, push
du	du		pron	A1	ты	you
Duell	das Duell, -e		das	B2+	Дуэль	duel
Duft	der Duft, -̈e		der	B2+	аромат	(pleasant) smell, fragrance
dulden, duldet, duldete, hat geduldet	dulden, duldet, duldete, hat geduldet		verb	B2+	терпеть	to tolerate
dumm	dumm		adj	A2	глупый	stupid
dunkel	dunkel		adj	A2	темно	dark
Dunkelheit	die Dunkelheit, -en		die	B2+	Тьма	darkness
dünn	dünn		adj	A2	тонкий	thin
durch	durch		prep	A1	через	through
durchaus	durchaus		adv	A2	абсолютно	absolutely, quite
Durchbruch	der Durchbruch, -̈e		der	B2+	прорыв	breakthrough
durchführen, führt durch, führte durch, hat durchgeführt	durchführen, führt durch, führte durch, hat durchgeführt		verb	B1	осуществлять	to carry out, hold, conduct, run
Durchführung	die Durchführung, -en		die	B2+	реализация	carrying out
durchgehen, geht durch, ging durch, ist durchgegangen	durchgehen, geht durch, ging durch, ist durchgegangen		verb	B2+	пройти	to go through, pass, bolt
durchlaufen, läuft durch, lief durch, ist durchgelaufen	durchlaufen, läuft durch, lief durch, ist durchgelaufen		verb	B2+	прошел	to go through
Durchmesser	der Durchmesser, -		der	B2+	диаметр	diameter
Durchschnitt	der Durchschnitt, -e		der	B1	средний	average
durchschnittlich	durchschnittlich		adj	B1	средний	average
durchsetzen, setzt durch, setzte durch, hat durchgesetzt	durchsetzen, setzt durch, setzte durch, hat durchgesetzt		verb	B1	обеспечить соблюдение	to carry through, enforce, implement
durchziehen, zieht durch, zog durch, hat durchgezogen	durchziehen, zieht durch, zog durch, hat durchgezogen		verb	B2+	вытащить	to see sth through, follow through
dürfen, darf, durfte, hat gedurft	dürfen, darf, durfte, hat gedurft		verb	A1	может	to be allowed to may
Dusche	die Dusche, -n		die	A1	душ	shower
düster	düster		adj	B2+	мрачный	gloomy
Dutzend	das Dutzend, -e		das	B1	дюжина	dozen
Dynamik	die Dynamik, -en		die	B2+	динамика	dynamics
