Word	Annotation	Sense	Part of Speech	Level	English
Blutdruck	der Blutdruck, -̈e		der	B2+	blood pressure
Blüte	die Blüte, -n		die	B2+	blossom
blutig	blutig		adj	B2+	bloody
Boden	der Boden, -̈		der	B1	ground, floor, bottom
Bogen	der Bogen, -		der	A1	bow, arc, sheet
Bombe	die Bombe, -n		die	B2+	bomb
Boot	das Boot, -e		das	B1	boat
Bord	das Bord, -e		der	B1	board
Börse	die Börse, -n		die	B2+	stock market
böse	böse		adj	A1	bad, mad
Botschaft	die Botschaft, -en		die	B1	message
Botschafter	der Botschafter, -		der	B2+	ambassador
Box	die Box, -en		die	B2+	speaker, pit, stall
Branche	die Branche, -n		die	B1	sector, line of business
Brand	der Brand, -̈e		der	B2+	fire
Brandenburg	Brandenburg		das	B2+	Brandenburg
Brasilien	Brasilien		das	B2+	Brazil
brauchen, braucht, brauchte, hat gebraucht	brauchen, braucht, brauchte, hat gebraucht		verb	A1	to need
braun	braun		adj	B1	brown
brav	brav		adj	B2+	well-behaved, good
BRD	BRD (Bundesrepublik Deutschland)		die	B1	Federal Republic (of Germany)
brechen, bricht, brach, hat gebrochen	brechen, bricht, brach, hat gebrochen		verb	B1	to break
breit	breit		adj	A1	wide, broad
Breite	die Breite, -n		die	B1	width
bremsen, bremst, bremste, hat gebremst	bremsen, bremst, bremste, hat gebremst		verb	B1	to brake, slow down
brennen, brennt, brannte, hat gebrannt	brennen, brennt, brannte, hat gebrannt		verb	B1	to burn
Brett	das Brett, -er		das	B2+	board, plank
Brexit	der Brexit		der	B2+	Brexit
Brief	der Brief, -e		der	A1	letter
Brille	die Brille, -n		die	A2	glasses
bringen, bringt, brachte, hat gebracht	bringen, bringt, brachte, hat gebracht		verb	A1	to bring, take
Brite	der Brite, -n		der	B2+	Brit
britisch	britisch		adj	B1	British
Brot	das Brot, -e		das	A1	bread
Bruch	der Bruch, -̈e		der	B2+	fracture, break
Brücke	die Brücke, -n		die	A2	bridge
Bruder	der Bruder, -̈		der	A1	brother
brüllen, brüllt, brüllte, hat gebrüllt	brüllen, brüllt, brüllte, hat gebrüllt		verb	B2+	to bellow, roar, shout
Brust	die Brust, -̈e		die	B1	breast, chest
brutal	brutal		adj	B2+	brutal
Bruttoinlandsprodukt	das Bruttoinlandsprodukt, -e		das	B1	gross domestic product, GDP
Bube	der Bube, -n		der	B2+	boy
Buch	das Buch, -̈er		das	A1	book
buchen	buchen		verb	A2	to book
Buchstabe	der Buchstabe, -n		der	A1	letter
Budget	das Budget, -s		das	B2+	budget
Bühne	die Bühne, -n		die	B1	stage
Bund	der Bund, -̈e		der	B1	association, alliance, bunch
Bündel	das Bündel, -		das	B2+	bundle, bunch
Bundesamt	das Bundesamt, -̈er		das	B2+	federal office
Bundeskanzler	der Bundeskanzler, -		der	B1	federal chancellor
Bundesland	das Bundesland, -̈er		das	B1	state, province
Bundesliga	die Bundesliga, -en		die	B2+	(sport) national division
Bundespräsident	der Bundespräsident, -en		der	B2+	Federal President
Bundesrat	der Bundesrat, -̈e		der	B2+	Bundesrat
Bundesregierung	die Bundesregierung, -en		die	B1	federal government
Bundesstaat	der Bundesstaat, -en		der	B2+	confederation, federal state
Bundestag	der Bundestag, -e		der	B1	Bundestag
Bundeswehr	die Bundeswehr		die	B2+	Armed Forces
bundesweit	bundesweit		adj	B2+	nationwide
Bündnis	das Bündnis, -se		das	B2+	alliance
bunt	bunt		adj	A2	colorful
Burg	die Burg, -en		die	B1	castle
Bürger	der Bürger, -		der	B1	citizen
Bürgerkrieg	der Bürgerkrieg, -e		der	B2+	civil war
bürgerlich	bürgerlich		adj	B2+	civil, civic
Bürgermeister	der Bürgermeister, -		der	B1	mayor
Büro	das Büro, -s		das	A2	office
Bus	der Bus, -se		der	A1	bus
Business	das Business		das	B2+	business
Butter	die Butter		die	A1	butter
Café	das Café, -s		das	A1	coffeehouse, coffee shop
Camp	das Camp, -s		das	B2+	camp
CD	die CD, -s		die	A1	CD
CDU	CDU (Christlich Demokratische Union Deutschlands)		die	A2	CDU
Cent	der Cent, -		der	B2+	cent
Center	das Center, -		das	B2+	center
Champion	der Champion, -s		der	B2+	champion
Chance	die Chance, -n		die	B1	chance
Chaos	das Chaos		das	B2+	chaos
Charakter	der Charakter, -e		der	B1	character
charakterisieren, charakterisiert, charakterisierte, hat charakterisiert	charakterisieren, charakterisiert, charakterisierte, hat charakterisiert		verb	B2+	to characterize
charakteristisch	charakteristisch		adj	B2+	characteristic
Chef	der Chef, -s		der	A1	head, leader, boss
Chemie	die Chemie, -n		die	A2	chemistry
Chemiker	der Chemiker, -		der	B2+	chemist
chemisch	chemisch		adj	A2	chemical
China	China		das	A2	China
Chinese	der Chinese, -n		der	B2+	Chinese
chinesisch	chinesisch		adj, das	B1	Chinese; Chinese
Christ	der Christ, -en		der	B2+	Christian
christlich	christlich		adj	B2+	Christian
Chromosom	das Chromosom, -en		das	B1	chromosome
chronisch	chronisch		adj	B2+	chronic
City	die City, -s		die	B1	city center
Club	der Club, -s		der	A2	club
Code	der Code, -s		der	B2+	code
Computer	der Computer, -		der	A1	computer
Container	der Container, -		der	B2+	container
cool	cool		adj	B2+	cool
Cousin	der Cousin, -s		der	B1	cousin
CSU	CSU (Christlich-Soziale Union)		die	B1	CSU
da	da		adv, conj	A1	there; because
dabei	dabei		pron	A2	with it, there
Dach	das Dach, -̈er		das	B1	roof
dadurch	dadurch		pron	A2	through it, as a result, as a consequence
dafür	dafür		pron	A2	for it, for that
dagegen	dagegen		pron	A2	against it, on the other hand
daheim	daheim		adv	B2+	at home
daher	daher		pron	B1	from, there, therefore
dahin	dahin		adv	B1	there
dahinter	dahinter		pron	B1	behind it
damalig	damalig		adj	B1	at that time
damals	damals		pron	A2	then
Dame	die Dame, -n		die	A1	lady
damit	damit		pron	B1	so that
damit	damit		conj	B1	so that
dämpfen, dämpft, dämpfte, hat gedämpft	dämpfen, dämpft, dämpfte, hat gedämpft		verb	B2+	to dampen, dim
danach	danach		pron	B1	after it, afterwards
daneben	daneben		pron	A1	beside it, next to it
Dänemark	Dänemark		das	B2+	Denmark
dänisch	dänisch		adj, das	B2+	Danish; Danish
Dank	der Dank		der	A1	gratefulness
dankbar	dankbar		adj	B1	grateful
danke	danke		adv	A1	thanks
danken, dankt, dankte, hat gedankt	danken, dankt, dankte, hat gedankt		verb	A1	to thank
dann	dann		adv	A1	then
daran, dran	daran, dran		pron	A1	on it
darauf, drauf	darauf, drauf		pron	A1	on it, to it
daraufhin	daraufhin		adv	B1	as a result
daraus	daraus		pron	A2	from it
darin, drin, drinnen	darin, drin, drinnen		pron	A1	in it, in there, inside
Darm	der Darm, -̈e		der	B2+	intestine
darstellen, stellt dar, stellte dar, hat dargestellt	darstellen, stellt dar, stellte dar, hat dargestellt		verb	B1	to depict, portray, show
Darstellung	die Darstellung, -en		die	B1	presentation, description, depiction
darüber, drüber	darüber, drüber		pron	A1	above it, about it
darum	darum		pron	A2	around it, therefore
darunter	darunter		pron	B1	under it, underneath
dass	dass		conj	A1	that
dastehen, steht da, stand da, hat dagestanden	dastehen, steht da, stand da, hat dagestanden		verb	B2+	to stand there, be in a position
Daten	Daten		die (pl)	B1	data
Datenbank	die Datenbank, -en		die	B2+	database
Datensatz	der Datensatz, -̈e		der	B2+	data set
Datum	das Datum, -en		das	A1	date
Dauer	die Dauer, -n		die	B1	duration, length
dauerhaft	dauerhaft		adj	B1	lasting
dauern, dauert, dauerte, hat gedauert	dauern, dauert, dauerte, hat gedauert		verb	A1	to last, take (time)
dauernd	dauernd		adj	B1	constant, lasting
Daumen	der Daumen, -		der	B2+	thumb
davon	davon		pron	A1	from it, about it, thereof
davor	davor		pron	B1	before, in front of
dazu	dazu		pron	A1	in addition, furthermore, to that, for that
dazwischen	dazwischen		pron	B2+	in between, between (them), among (them)
DDR	DDR (Deutsche Demokratische Republik)		die	B1	
Debatte	die Debatte, -n		die	B1	debate
Decke	die Decke, -n		die	B1	ceiling, blanket
decken, deckt, deckte, hat gedeckt	decken, deckt, deckte, hat gedeckt		verb	B2+	to cover, set
definieren, definiert, definierte, hat definiert	definieren, definiert, definierte, hat definiert		verb	B1	to define
Definition	die Definition, -en		die	B1	definition
definitiv	definitiv		adj	B2+	definite, definitive
Defizit	das Defizit, -e		das	B2+	deficit
dein	dein		pron	A1	your
Delegierte	die Delegierte		der, die	B2+	delegate
dementsprechend	dementsprechend		adj	B2+	accordingly
demnach	demnach		adv	B1	therefore
demnächst	demnächst		adv	B2+	shortly
Demokrat	der Demokrat, -en		der	B2+	democrat
Demokratie	die Demokratie, -n		die	B1	democracy
demokratisch	demokratisch		adj	B1	democratic
Demonstrant	der Demonstrant, -en		der	B2+	demonstrator
Demonstration	die Demonstration, -en		die	B2+	demonstration
demonstrieren, demonstriert, demonstrierte, hat demonstriert	demonstrieren, demonstriert, demonstrierte, hat demonstriert		verb	B2+	to demonstrate
denen	denen		pron	A1	whom, that
denkbar	denkbar		adj	B2+	conceivable
denken, denkt, dachte, hat gedacht	denken, denkt, dachte, hat gedacht		verb	A2	to think
Denkmal	das Denkmal, -e		das	B1	monument, memorial
denn	denn		conj, part	A1	because; anyway
dennoch	dennoch		adv	A2	nevertheless
Depression	die Depression, -en		die	B2+	depression
der	der		art, pron, pron	A1	the; that, those; who, that
derart	derart		adv	B2+	so
derartig	derartig		adj	B2+	such, like that
deren	deren		pron	A1	whose
derjenige, diejenige, dasjenige	derjenige, diejenige, dasjenige		pron	B1	the one (who, that)
derselbe, dieselbe, dasselbe	derselbe, dieselbe, dasselbe		pron	B1	the same (one, ones)
derweil	derweil		adv	B2+	while, meanwhile
derzeit	derzeit		adv	A2	at the moment
derzeitig	derzeitig		adj	B2+	current
deshalb	deshalb		adv	A2	therefore
Design	das Design, -s		das	B2+	design
dessen	dessen		pron	A1	whose
desto	desto		adv	B1	the more
deswegen	deswegen		adv	B1	therefore, that’s why
Detail	das Detail, -s		das	B1	detail
detailliert	detailliert		adj	B2+	detailed
deuten, deutet, deutete, hat gedeutet	deuten, deutet, deutete, hat gedeutet		verb	B1	to point, indicate, interpret
deutlich	deutlich		adj	A2	clear
deutsch	deutsch		adj, das	A1	German; German
Deutsche	das Deutsche		der, die	A2	German
Deutschland	Deutschland		das	A1	Germany
deutschsprachig	deutschsprachig		adj	B2+	German-speaking
Deutung	die Deutung, -en		die	B2+	interpretation
Dezember	der Dezember, -		der	B1	December
DFB	DFB (Deutscher Fußball-Bund)		der	B2+	DFB
Diabetes	der Diabetes		der	B2+	diabetes
Diagnose	die Diagnose, -n		die	B2+	diagnosis
Diagramm	das Diagramm, -e		die	B2+	diagram
Dialekt	der Dialekt, -e		der	B1	dialect
Dialog	der Dialog, -e		der	B1	dialogue
dich	dich		pron	A1	you, yourself
dicht	dicht		adj	B1	thick, dense
Dichte	die Dichte, -n		die	B2+	density
Dichter	der Dichter, -		der	B1	writer, poet
Dichtung	die Dichtung, -en		die	B2+	seal, literature, poetry
dick	dick		adj	A2	thick, fat
dienen, dient, diente, hat gedient	dienen, dient, diente, hat gedient		verb	B1	to serve
Diener	der Diener, -		der	B2+	servant
Dienst	der Dienst, -e		der	B1	service, duty
Dienstag	der Dienstag, -e		der	B1	Tuesday
Dienstleistung	die Dienstleistung, -en		die	B1	service
dies	dies		pron	A1	this, that
diesmal	diesmal		adv	B1	this time
Differenz	die Differenz, -en		die	B2+	difference
differenzieren, differenziert, differenzierte, hat differenziert	differenzieren, differenziert, differenzierte, hat differenziert		verb	B2+	to differentiate
Differenzierung	die Differenzierung, -en		die	B2+	differentiation
digital	digital		adj	B1	digital
Digitalisierung	die Digitalisierung, -en		die	B2+	digitalization
Diktatur	die Diktatur, -en		die	B2+	dictatorship
Dimension	die Dimension, -en		die	B1	dimension
Ding	das Ding, -e		das	A2	thing
diplomatisch	diplomatisch		adj	B2+	diplomatic
dir	dir		pron	A1	you
direkt	direkt		adj	A2	direct, straight
Direktor	der Direktor, -en		der	B1	director
diskret	diskret		adj	B2+	discreet, confidential
Diskriminierung	die Diskriminierung, -en		die	B2+	discrimination
Diskurs	der Diskurs, -e		der	B2+	discourse
Diskussion	die Diskussion, -en		die	B1	discussion, debate
diskutieren, diskutiert, diskutierte, hat diskutiert	diskutieren, diskutiert, diskutierte, hat diskutiert		verb	A2	to discuss
Distanz	die Distanz, -en		die	B1	distance
Disziplin	die Disziplin, -en		die	B2+	discipline
divers	divers		adj	B2+	diverse, various
DNA	DNA (DNS, Desoxyribonukleinsäure)		die	B1	DNA, deoxyribonucleic acid
doch	doch		adv, part	A1	however, but
Doktor	der Doktor, -en (Dr.)		der	A1	doctor
Dokument	das Dokument, -e		das	B1	document
dokumentieren, dokumentiert, dokumentierte, hat dokumentiert	dokumentieren, dokumentiert, dokumentierte, hat dokumentiert		verb	B2+	to document
Dollar	der Dollar, -		der	A2	dollar
Dom	der Dom, -e		der	B2+	cathedral
dominant	dominant		adj	B2+	dominant
dominieren, dominiert, dominierte, hat dominiert	dominieren, dominiert, dominierte, hat dominiert		verb	B2+	to dominate
Donnerstag	der Donnerstag, -e		der	B1	Thursday
doppelt	doppelt		adj	B1	double
Dorf	das Dorf, -̈er		das	A1	village
dort	dort		adv	A1	there
dorthin	dorthin		adv	B1	there
Dose	die Dose, -n		die	B1	can, tin
Drama	das Drama, -en		das	B1	drama
dramatisch	dramatisch		adj	B1	dramatic
drängen, drängt, drängte, hat gedrängt	drängen, drängt, drängte, hat gedrängt		verb	B1	to push, insist
drastisch	drastisch		adj	B2+	drastic
draußen	draußen		adv	A1	outside
Dreck	der Dreck		der	B1	dirt
drehen, dreht, drehte, hat gedreht	drehen, dreht, drehte, hat gedreht		verb	B1	to turn
drei	drei		num	A1	three
dreimal	dreimal		adv	B2+	three times
dreißig	dreißig		num	B1	thirty
dreizehn	dreizehn		num	B2+	thirteen
dringen, dringt, drang, ist gedrungen	dringen, dringt, drang, ist gedrungen		verb	B2+	to press, insist
dringend	dringend		adj	A2	urgent
Drittel	das Drittel, -		das	B1	third
Droge	die Droge, -n		die	B1	drug
drohen, droht, drohte, hat gedroht	drohen, droht, drohte, hat gedroht		verb	A2	to threaten
Drohung	die Drohung, -en		die	B2+	threat
drüben	drüben		adv	A2	over there
Druck	der Druck, -̈e		der	B1	pressure, printing
drucken, druckt, druckte, hat gedruckt	drucken, druckt, druckte, hat gedruckt		verb	A1	to print
drücken, drückt, drückte, hat gedrückt	drücken, drückt, drückte, hat gedrückt		verb	A1	to press, push
du	du		pron	A1	you
Duell	das Duell, -e		das	B2+	duel
Duft	der Duft, -̈e		der	B2+	(pleasant) smell, fragrance
dulden, duldet, duldete, hat geduldet	dulden, duldet, duldete, hat geduldet		verb	B2+	to tolerate
dumm	dumm		adj	A2	stupid
dunkel	dunkel		adj	A2	dark
Dunkelheit	die Dunkelheit, -en		die	B2+	darkness
dünn	dünn		adj	A2	thin
durch	durch		prep	A1	through
durchaus	durchaus		adv	A2	absolutely, quite
Durchbruch	der Durchbruch, -̈e		der	B2+	breakthrough
durchführen, führt durch, führte durch, hat durchgeführt	durchführen, führt durch, führte durch, hat durchgeführt		verb	B1	to carry out, hold, conduct, run
Durchführung	die Durchführung, -en		die	B2+	carrying out
durchgehen, geht durch, ging durch, ist durchgegangen	durchgehen, geht durch, ging durch, ist durchgegangen		verb	B2+	to go through, pass, bolt
durchlaufen, läuft durch, lief durch, ist durchgelaufen	durchlaufen, läuft durch, lief durch, ist durchgelaufen		verb	B2+	to go through
Durchmesser	der Durchmesser, -		der	B2+	diameter
Durchschnitt	der Durchschnitt, -e		der	B1	average
durchschnittlich	durchschnittlich		adj	B1	average
durchsetzen, setzt durch, setzte durch, hat durchgesetzt	durchsetzen, setzt durch, setzte durch, hat durchgesetzt		verb	B1	to carry through, enforce, implement
durchziehen, zieht durch, zog durch, hat durchgezogen	durchziehen, zieht durch, zog durch, hat durchgezogen		verb	B2+	to see sth through, follow through
dürfen, darf, durfte, hat gedurft	dürfen, darf, durfte, hat gedurft		verb	A1	to be allowed to may
Dusche	die Dusche, -n		die	A1	shower
düster	düster		adj	B2+	gloomy
Dutzend	das Dutzend, -e		das	B1	dozen
Dynamik	die Dynamik, -en		die	B2+	dynamics
dynamisch	dynamisch		adj	B2+	dynamic
eben, ebend	eben, ebend		adv, part	B1	just, now
ebenda	ebenda		adv	B1	ibidem, at the same place
Ebene	die Ebene, -n		die	A2	plane, level
ebenfalls	ebenfalls		adv	B1	likewise, also, as well
ebenso	ebenso		adv	B1	just as, as much as, as well
echt	echt		adj	A2	genuine, real
Ecke	die Ecke, -n		die	A1	corner
Effekt	der Effekt, -e		der	B1	effect
effektiv	effektiv		adj	B2+	effective
effizient	effizient		adj	B2+	efficient
Effizienz	die Effizienz, -en		die	B2+	efficiency
egal	egal		adv	A2	(it’s all) the same, indifferent
Ehe	die Ehe, -n		die	B1	marriage
ehe	ehe		conj	B1	before
Ehefrau	die Ehefrau, -en		die	A1	wife
ehemalig	ehemalig		adj	A2	former
Ehemann	der Ehemann, -̈er		der	A1	husband
Ehepaar	das Ehepaar, -e		das	B1	(married) couple
eher	eher		adv	B1	sooner, earlier, more likely, rather
Ehre	die Ehre, -n		die	B1	honor
ehren, ehrt, ehrte, hat geehrt	ehren, ehrt, ehrte, hat geehrt		verb	B1	to honor
ehrenamtlich	ehrenamtlich		adj	B2+	honorary, voluntary
ehrlich	ehrlich		adj	B1	honest
Ei	das Ei, -er		das	A1	egg
eigen	eigen		adj	A2	own
eigens	eigens		adv	B2+	especially, specifically
Eigenschaft	die Eigenschaft, -en		die	A2	quality
eigenständig	eigenständig		adj	B2+	independent
eigentlich	eigentlich		adj, adv, part	A2	actual, real; actually
Eigentum	das Eigentum, -e		das	B2+	property
Eigentümer	der Eigentümer, -		der	B2+	owner
eignen, eignet, eignete, hat geeignet	eignen (sich), eignet, eignete, hat geeignet		verb	B1	to be suitable
eilen, eilt, eilte, hat geeilt	eilen, eilt, eilte, hat geeilt		verb	B1	to hurry
ein	ein		art, pron	A1	a, an; one (of)
einander	einander		adv	B1	each other
einbauen, baut ein, baute ein, hat eingebaut	einbauen, baut ein, baute ein, hat eingebaut		verb	B2+	to install, build in, fit
einbeziehen, bezieht ein, bezog ein, hat einbezogen	einbeziehen, bezieht ein, bezog ein, hat einbezogen		verb	B2+	to include
einbinden, bindet ein, band ein, hat eingebunden	einbinden, bindet ein, band ein, hat eingebunden		verb	B2+	to involve, integrate
Einblick	der Einblick, -e		der	B2+	insight
einbringen, bringt ein, brachte ein, hat eingebracht	einbringen, bringt ein, brachte ein, hat eingebracht		verb	B2+	to bring in, contribute
Einbruch	der Einbruch, -̈e		der	B1	break-in, burglary, slump, decline
eindeutig	eindeutig		adj	B1	clear
eindringen, dringt ein, drang ein, ist eingedrungen	eindringen, dringt ein, drang ein, ist eingedrungen		verb	B2+	to enter, penetrate
Eindruck	der Eindruck, -̈e		der	B1	impression
einer	einer		pron	A1	(some)one
einerseits	einerseits		adv	B1	on the one hand
einfach	einfach		adj, part	A1	simple, easy; simply
einfallen, fällt ein, fiel ein, ist eingefallen	einfallen, fällt ein, fiel ein, ist eingefallen		verb	B1	to occur, remind, remember, collapse
Einfluss	der Einfluss, -̈e		der	B1	influence
einführen, führt ein, führte ein, hat eingeführt	einführen, führt ein, führte ein, hat eingeführt		verb	B1	to introduce, import
Einführung	die Einführung, -en		die	B1	introduction
Eingang	der Eingang, -̈e		der	A1	entrance
eingeben, gibt ein, gab ein, hat eingegeben	eingeben, gibt ein, gab ein, hat eingegeben		verb	B2+	to enter, input, put in
eingehen, geht ein, ging ein, ist eingegangen	eingehen, geht ein, ging ein, ist eingegangen		verb	A2	to mention, discuss, react to, cater
eingreifen, greift ein, griff ein, hat eingegriffen	eingreifen, greift ein, griff ein, hat eingegriffen		verb	B2+	to intervene
Eingriff	der Eingriff, -e		der	B2+	intervention, interference
einhalten, hält ein, hielt ein, hat eingehalten	einhalten, hält ein, hielt ein, hat eingehalten		verb	B2+	to observe
einheimisch	einheimisch		adj	B1	native
Einheit	die Einheit, -en		die	A2	unity, unit, entity
einheitlich	einheitlich		adj	B1	uniform, standardized
einhergehen, geht einher, ging einher, ist einhergegangen	einhergehen, geht einher, ging einher, ist einhergegangen		verb	B2+	to be accompanied
einholen, holt ein, holte ein, hat eingeholt	einholen, holt ein, holte ein, hat eingeholt		verb	B2+	to pull in, catch up
einig	einig		adj	A2	agreed
einige	einige		pron	A1	a few, some
einigen, einigt, einigte, hat geeinigt	einigen, einigt, einigte, hat geeinigt		verb	B1	to unite, agree
einigermaßen	einigermaßen		adv	B2+	somewhat, fairly, reasonably
Einigung	die Einigung, -en		die	B2+	agreement
Einkauf	der Einkauf, -̈e		der	B1	purchase, shopping
einkaufen, kauft ein, kaufte ein, hat eingekauft	einkaufen, kauft ein, kaufte ein, hat eingekauft		verb	A1	to shop
Einkommen	das Einkommen, -		das	B1	income
einladen, lädt ein, lud ein, hat eingeladen	einladen, lädt ein, lud ein, hat eingeladen		verb	A1	to invite, load
Einladung	die Einladung, -en		die	A1	invitation
einlassen, lässt ein, ließ ein, hat eingelassen	einlassen, lässt ein, ließ ein, hat eingelassen		verb	B2+	to let in, get involved
einlegen, legt ein, legte ein, hat eingelegt	einlegen, legt ein, legte ein, hat eingelegt		verb	B2+	to put in, insert
einleiten, leitet ein, leitete ein, hat eingeleitet	einleiten, leitet ein, leitete ein, hat eingeleitet		verb	B2+	to introduce
Einleitung	die Einleitung, -en		die	B2+	introduction
einmal	einmal		adv	A1	once
einmalig	einmalig		adj	B2+	unique, fantastic
Einnahme	die Einnahme, -n		die	B1	income, receipts, revenue
einnehmen, nimmt ein, nahm ein, hat eingenommen	einnehmen, nimmt ein, nahm ein, hat eingenommen		verb	B1	to take (up/in)
einordnen, ordnet ein, ordnete ein, hat eingeordnet	einordnen, ordnet ein, ordnete ein, hat eingeordnet		verb	B2+	to file, rank, get in lane
einräumen, räumt ein, räumte ein, hat eingeräumt	einräumen, räumt ein, räumte ein, hat eingeräumt		verb	B2+	to put away, admit, concede
einreichen, reicht ein, reichte ein, hat eingereicht	einreichen, reicht ein, reichte ein, hat eingereicht		verb	B2+	to submit
einrichten, richtet ein, richtete ein, hat eingerichtet	einrichten, richtet ein, richtete ein, hat eingerichtet		verb	B1	to furnish
Einrichtung	die Einrichtung, -en		die	B1	institution, furnishings
eins	eins		num	A2	one
einsam	einsam		adj	B1	lonely, isolated
Einsatz	der Einsatz, -̈e		der	A2	insert, use, application, assignment
einschalten, schaltet ein, schaltete ein, hat eingeschaltet	einschalten, schaltet ein, schaltete ein, hat eingeschaltet		verb	B1	to switch on
einschätzen, schätzt ein, schätzte ein, hat eingeschätzt	einschätzen, schätzt ein, schätzte ein, hat eingeschätzt		verb	B2+	to judge, assess
Einschätzung	die Einschätzung, -en		die	B2+	opinion, assessment, evaluation
einschlafen, schläft ein, schlief ein, ist eingeschlafen	einschlafen, schläft ein, schlief ein, ist eingeschlafen		verb	B2+	to fall asleep
einschlagen, schlägt ein, schlug ein, hat eingeschlagen	einschlagen, schlägt ein, schlug ein, hat eingeschlagen		verb	B2+	to hammer in, smash, take
einschließen, schließt ein, schloss ein, hat eingeschlossen	einschließen, schließt ein, schloss ein, hat eingeschlossen		verb	B2+	to lock up, involve, include
einschließlich	einschließlich		prep	B1	including
einschränken, schränkt ein, schränkte ein, hat eingeschränkt	einschränken, schränkt ein, schränkte ein, hat eingeschränkt		verb	B1	to restrict, reduce
Einschränkung	die Einschränkung, -en		die	B2+	restriction
einsehen, sieht ein, sah ein, hat eingesehen	einsehen, sieht ein, sah ein, hat eingesehen		verb	B2+	to see, realize, look into
einseitig	einseitig		adj	B2+	one-sided
einsetzen, setzt ein, setzte ein, hat eingesetzt	einsetzen, setzt ein, setzte ein, hat eingesetzt		verb	B1	to put in, insert
Einsicht	die Einsicht, -en		die	B2+	view, insight
einst	einst		adv	B1	once, at one time, one day
einsteigen, steigt ein, stieg ein, ist eingestiegen	einsteigen, steigt ein, stieg ein, ist eingestiegen		verb	A1	to board, get in
einstellen, stellt ein, stellte ein, hat eingestellt	einstellen, stellt ein, stellte ein, hat eingestellt		verb	B1	to adjust, employ, stop, discontinue
Einstellung	die Einstellung, -en		die	B1	attitude, employment
Einstieg	der Einstieg, -e		der	B2+	entry
einstig	einstig		adj	B2+	former
einstufen, stuft ein, stufte ein, hat eingestuft	einstufen, stuft ein, stufte ein, hat eingestuft		verb	B2+	to classify, rate, rank
einteilen, teilt ein, teilte ein, hat eingeteilt	einteilen, teilt ein, teilte ein, hat eingeteilt		verb	B2+	to organize, arrange, divide into
Einteilung	die Einteilung, -en		die	B2+	classification, division
eintragen, trägt ein, trug ein, hat eingetragen	eintragen, trägt ein, trug ein, hat eingetragen		verb	A2	to enter, record, register
eintreffen, trifft ein, traf ein, ist eingetroffen	eintreffen, trifft ein, traf ein, ist eingetroffen		verb	B2+	to arrive, come true, happen
eintreten, tritt ein, trat ein, hat eingetreten	eintreten, tritt ein, trat ein, hat eingetreten		verb	B1	to enter, join, occur
Eintritt	der Eintritt, -e		der	A1	entry, admission
einverstanden	einverstanden		adj	B1	(to be) in agreement
Einwohner	der Einwohner, -		der	B1	inhabitant
Einzelfall	der Einzelfall, -̈e		der	B2+	individual case
Einzelheit	die Einzelheit, -en		die	B1	detail
einzeln	einzeln		adj	B1	individual, single, separately
einziehen, zieht ein, zog ein, hat eingezogen	einziehen, zieht ein, zog ein, hat eingezogen		verb	A2	to move in
einzig	einzig		adj	B1	only, single
einzigartig	einzigartig		adj	B2+	unique
Einzige	Einzige		der, die	B2+	only one
Eis	das Eis		das	A2	ice, ice cream
Eisen	das Eisen, -		das	B2+	iron
Eizelle	die Eizelle, -n		die	B2+	ovum, egg cell
elastisch	elastisch		adj	B2+	elastic
elegant	elegant		adj	B1	elegant
elektrisch	elektrisch		adj	B1	electric
Elektroauto	das Elektroauto, -s		das	B2+	electric car
elektromagnetisch	elektromagnetisch		adj	B2+	electromagnetic
Elektron	das Elektron, -en		das	A2	electron
elektronisch	elektronisch		adj	B1	electronic
Element	das Element, -e		das	A2	element
elementar	elementar		adj	B2+	elementary, basic
elf	elf		num	A1	eleven
Eltern	Eltern		die (pl)	A1	parents
E-Mail	die E-Mail, -s		die, das	A1	e-mail
Embryo	der Embryo, -ne		der	B2+	embryo
Emotion	die Emotion, -en		die	B2+	emotion
emotional	emotional		adj	B1	emotional
Empfang	der Empfang, -̈e		der	B2+	reception
empfangen, empfängt, empfing, hat empfangen	empfangen, empfängt, empfing, hat empfangen		verb	B1	to receive
Empfänger	der Empfänger, -		der	A1	recipient
empfehlen, empfiehlt, empfahl, hat empfohlen	empfehlen, empfiehlt, empfahl, hat empfohlen		verb	A1	to recommend
Empfehlung	die Empfehlung, -en		die	B2+	recommendation
empfinden, empfindet, empfand, hat empfunden	empfinden, empfindet, empfand, hat empfunden		verb	B1	to feel
empfindlich	empfindlich		adj	B2+	sensitive
empirisch	empirisch		adj	B1	empirical
Ende	das Ende, -n		das	A1	end
enden, endet, endete, hat geendet	enden, endet, endete, hat geendet		verb	A1	to end
endgültig	endgültig		adj	B1	final
endlich	endlich		adv	A2	finally, at last
endlos	endlos		adj	B2+	endless, infinite
Energie	die Energie, -n		die	B1	energy
Energiewirtschaft	die Energiewirtschaft		die	B2+	energy industry
eng	eng		adj	A2	narrow, close
Engagement	das Engagement, -s		das	B1	commitment
engagieren, engagiert, engagierte, hat engagiert	engagieren, engagiert, engagierte, hat engagiert		verb	B1	to hire, employ, commit, engage
Engel	der Engel, -		der	B2+	angel
England	England		das	B1	England
Engländer	der Engländer, -		der	B2+	Englishman, English
englisch	englisch		adj, das	A2	English; English
Enkel	der Enkel, -		der	B1	grandson
enorm	enorm		adj	B1	enormous
